Crop Common Name ,Disease Name (Type),Scientific name,Treatment Methods
ಟೊಮೆಟೊ,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಕ್ಯಾಂಕರ್,ಕ್ಲಾವಿಬ್ಯಾಕ್ಟರ್ ಮಿಚಿಗನೆನ್ಸಿಸ್,ಎಲೆ ಅಂಚು ಕಂದು ಬಣ್ಣಕ್ಕೆ ತಿರುಗುತ್ತದೆ. ರೋಗಮುಕ್ತ ಬೀಜ ಬಳಸಿ. ಸವರುವ ಕತ್ತರಿಗಳನ್ನು ಬ್ಲೀಚಿಂಗ್ ಪುಡಿಯಿಂದ ಸ್ವಚ್ಛ ಮಾಡಿ. ಪೀಡಿತ ಗಿಡ ನಾಶಪಡಿಸಿ.
ಟೊಮೆಟೊ,ಎಲೆ ಮುದುರು ರೋಗ (Leaf Curl),ಟೊಮೆಟೊ ಲೀಫ್ ಕರ್ಲ್ ವೈರಸ್ (ToLCV),ಎಲೆ ಮೇಲೆ ಮುದುರುತ್ತದೆ. ಬಿಳಿ ನೊಣ ಹತೋಟಿಗೆ ಹಳದಿ ಅಂಟು ಬಲೆ ಬಳಸಿ. ಇಮಿಡಾಕ್ಲೋಪ್ರಿಡ್ (0.5 ಮಿಲಿ/ಲೀ) ಅಥವಾ ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ.
ಟೊಮೆಟೊ,ಕಪ್ಪು ಮಚ್ಚೆ ವೈರಸ್ (TSWV),ಟೊಮೆಟೊ ಸ್ಪಾಟೆಡ್ ವಿಲ್ಟ್ ವೈರಸ್ (TSWV),ಎಲೆ ಕಂಚಿನ ಬಣ್ಣಕ್ಕೆ ತಿರುಗುತ್ತದೆ. ನುಸಿ (Thrips) ಹತೋಟಿಗೆ ನೀಲಿ ಅಂಟು ಬಲೆ ಬಳಸಿ ಮತ್ತು ಫಿಪ್ರೊನಿಲ್ ಸಿಂಪಡಿಸಿ. ಹೊಲದ ಸುತ್ತ ಕಳೆ ಇಲ್ಲದಂತೆ ನೋಡಿ.
ಟೊಮೆಟೊ,ಮೊಸಾಯಿಕ್ ವೈರಸ್ (ToMV),ಟೊಮೆಟೊ ಮೊಸಾಯಿಕ್ ವೈರಸ್ (ToMV),ತಿಳಿ ಮತ್ತು ಕಡು ಹಸಿರು ಮಚ್ಚೆಗಳು ಕಾಣುತ್ತವೆ. ಮುಟ್ಟುವುದರಿಂದ ಹರಡುತ್ತದೆ. ಕೆಲಸ ಮಾಡುವ ಮುನ್ನ ಕೈಗಳನ್ನು ಸಾಬೂನಿನಿಂದ ತೊಳೆಯಿರಿ. ಧೂಮಪಾನ ಮಾಡುವವರಿಂದ ದೂರವಿಡಿ.
ಟೊಮೆಟೊ,ಹಣ್ಣಿನ ತುದಿ ಕೊಳೆತ,ಕ್ಯಾಲ್ಸಿಯಂ ಕೊರತೆ,ಹಣ್ಣಿನ ತಳಭಾಗ ಕಪ್ಪಾಗುತ್ತದೆ. ಇದು ಕ್ಯಾಲ್ಸಿಯಂ ಕೊರತೆಯಿಂದ ಆಗುತ್ತದೆ. ಸಮವಾಗಿ ನೀರು ಹಾಯಿಸಿ. ಕಾಯಿ ಸಣ್ಣಗಿರುವಾಗ ಕ್ಯಾಲ್ಸಿಯಂ ಕ್ಲೋರೈಡ್ (2 ಗ್ರಾಂ/ಲೀ) ಸಿಂಪಡಿಸಿ.
ಟೊಮೆಟೊ,ಹಣ್ಣು ಒಡೆಯುವುದು,ದೈಹಿಕ ವಿಕೋಪ,ಒಣ ಹವೆ ನಂತರ ಮಳೆಯಾದರೆ ಹಣ್ಣು ಒಡೆಯುತ್ತದೆ. ಮಣ್ಣಿನ ತೇವಾಂಶ ಸಮವಾಗಿಡಿ. ಮಳೆ ಬರುವ ಮುನ್ನ ಹಣ್ಣಾದ ಕಾಯಿ ಕೊಯ್ಲು ಮಾಡಿ.
ಟೊಮೆಟೊ,ಸೂರ್ಯನ ಶಾಖದ ಬರೆ,ಸನ್ ಸ್ಕ್ಯಾಲ್ಡ್ (ದೈಹಿಕ),ಬಿಸಿಲಿನಿಂದ ಹಣ್ಣಿನ ಮೇಲೆ ಬಿಳಿ ಮಚ್ಚೆ ಕಾಣುತ್ತದೆ. ಗಿಡದ ಎಲೆಗಳು ಹಣ್ಣನ್ನು ಮುಚ್ಚುವಂತೆ ಆರೋಗ್ಯವಾಗಿ ಬೆಳೆಸಿ. ಬಿಸಿಲು ಹೆಚ್ಚಿದ್ದರೆ ನೆರಳು ಪರದೆ ಬಳಸಿ.
ಟೊಮೆಟೊ,ಕ್ಯಾಟ್ ಫೇಸಿಂಗ್ (ವಿಕಾರ ಹಣ್ಣು),ದೈಹಿಕ ವಿಕೋಪ (ಕ್ಯಾಟ್ ಫೇಸಿಂಗ್),ಹಣ್ಣು ವಿಕಾರವಾಗಿ ಬೆಳೆಯುತ್ತದೆ. ಅತಿಯಾದ ಯೂರಿಯಾ ಬಳಕೆ ಬೇಡ. ಸಮತೋಲಿತ ಗೊಬ್ಬರ ನೀಡಿ. ಚಳಿಗಾಲದ ತುಂಬಾ ಮುಂಚೆ ನಾಟಿ ಮಾಡಬೇಡಿ.
ಟೊಮೆಟೊ,ಬೇರು ಗಂಟು ರೋಗ (Nematode),ಮೆಲೋಯಿಡೋಗೈನೆ ಪ್ರಭೇದ,ಬೇರುಗಳಲ್ಲಿ ಗಂಟುಗಳಾಗಿ ಗಿಡ ಸಣ್ಣದಾಗಿ ಉಳಿಯುತ್ತದೆ. ಸಾಲುಗಳ ನಡುವೆ ಚೆಂಡು ಹೂವು ಬೆಳೆಸಿ. ಮಣ್ಣಿಗೆ ಬೇವಿನ ಹಿಂಡಿ (ಎಕರೆಗೆ 250 ಕೆಜಿ) ಹಾಕಿ.
ಟೊಮೆಟೊ,ಬೂದು ಬೂಷ್ಟು ರೋಗ,ಬೊಟ್ರೈಟಿಸ್ ಸಿನೆರಿಯಾ,ಹೂವು/ಹಣ್ಣಿನ ಮೇಲೆ ಬೂದು ಬಣ್ಣದ ಬೂಷ್ಟು ಕಾಣುತ್ತದೆ. ಗಿಡಗಳ ನಡುವೆ ಸರಿಯಾದ ಗಾಳಿ ಓಡಾಡುವಂತೆ ಜಾಗ ಬಿಡಿ. ಹಳೆಯ ಹೂವುಗಳನ್ನು ಕಿತ್ತುಹಾಕಿ.
ಟೊಮೆಟೊ,ಸದರ್ನ್ ಬ್ಲೈಟ್,ಸ್ಕ್ಲೆರೋಶಿಯಂ ರಾಲ್ಫಿಸೈ,ಬುಡದಲ್ಲಿ ಸಾಸಿವೆಯಂತೆ ಬಿಳಿ ಬೂಷ್ಟು ಬೆಳೆಯುತ್ತದೆ. ಬೇಸಿಗೆಯಲ್ಲಿ ಆಳ ಉಳುಮೆ ಮಾಡಿ. ಸೌರ ತಾಪೀಕರಣ ಮಾಡಿ. ಬುಡಕ್ಕೆ ಟ್ರೈಕೋಡರ್ಮ ಪುಡಿ ಹಾಕಿ.
ಟೊಮೆಟೊ,ಎಲೆ ಬೂಷ್ಟು ರೋಗ,ಪ್ಯಾಸಲೋರಾ ಫಲ್ವಾ,"ಎಲೆ ಮೇಲೆ ಹಳದಿ ಚುಕ್ಕೆ, ಕೆಳಗೆ ಹಸಿರು ಬೂಷ್ಟು ಇರುತ್ತದೆ. ಗಾಳಿಯಾಡುವಿಕೆ ಹೆಚ್ಚಿಸಿ. ಹನಿ ನೀರಾವರಿ ಬಳಸಿ. ಕಾಪರ್ ಯುಕ್ತ ಔಷಧ ಸಿಂಪಡಿಸಿ."
ಗೋಡಂಬಿ,ಚಹಾ ಸೊಳ್ಳೆ (Tea Mosquito Bug),ಹೆಲೋಪೆಲ್ಟಿಸ್ ಆಂಟೋನಿ,ಬೆಳಿಗ್ಗೆ ಅಥವಾ ಸಂಜೆ ಲ್ಯಾಮ್ಡಾ-ಸೈಹಲೋಥ್ರಿನ್ ಸಿಂಪಡಿಸಿ. ಹೊಸ ಚಿಗುರು ಮತ್ತು ಕಾಯಿಗಳ ಮೇಲೆ ಔಷಧ ಸರಿಯಾಗಿ ಬೀಳಲಿ. ಬಿಸಿಲಿನಲ್ಲಿ ಸಿಂಪಡಿಸಬೇಡಿ.
ಗೋಡಂಬಿ,ಕಾಂಡ ಮತ್ತು ಬೇರು ಕೊರಕ,ಪ್ಲೋಸೀಡರಸ್ ಫೆರುಜಿನಿಯಸ್,ಕಾಂಡದ ಮೇಲೆ ಅಂಟು ಅಥವಾ ಮರದ ಪುಡಿ ಕಂಡರೆ ಹುಳು ತೆಗೆದು ಕೊಲ್ಲಿ. ಆ ರಂಧ್ರಕ್ಕೆ ಕ್ಲೋರ್ ಪೈರಿಫಾಸ್ ದ್ರಾವಣ ಹಾಕಿ ಮುಚ್ಚಿ. ಮರವನ್ನು ಉಳಿಸಲು ಇದು ಮುಖ್ಯ.
ಗೋಡಂಬಿ,ಹೂಗೊಂಚಲು ರೋಗ (Anthracnose),ಕೊಲೆಟೊಟ್ರೈಕಮ್ ಗ್ಲಿಯೋಸ್ಪೊರಿಯಾಯ್ಡ್ಸ್,ಚಿಗುರು ಬರುವಾಗ ಬೋರ್ಡೋ ಮಿಶ್ರಣ (1%) ಅಥವಾ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ. ಇದು ಹೂವು ಮತ್ತು ಕಾಯಿ ಒಣಗಿ ಉದುರುವುದು ತಪ್ಪಿಸುತ್ತದೆ.
ಗೋಡಂಬಿ,ಗುಲಾಬಿ ರೋಗ (Pink Disease),ಎರಿಥ್ರಿಸಿಯಮ್ ಸಾಲ್ಮೊನಿಕಲರ್,ಪೀಡಿತ ಕೊಂಬೆಯನ್ನು 30 ಸೆಂ.ಮೀ ಕೆಳಭಾಗಕ್ಕೆ ಕತ್ತರಿಸಿ ಸುಟ್ಟು ಹಾಕಿ. ಕತ್ತರಿಸಿದ ಜಾಗಕ್ಕೆ ಬೋರ್ಡೋ ಪೇಸ್ಟ್ ಹಚ್ಚಿ. ಮಳೆಗಾಲಕ್ಕೆ ಮುನ್ನ ಇದನ್ನು ಮಾಡಿ.
ಗೋಡಂಬಿ,ತುದಿ ಒಣಗುವ ರೋಗ (Die-back),ಬೊಟ್ರಿಯೋಡಿಪ್ಲೋಡಿಯಾ ಥಿಯೋಬ್ರೋಮೇ,ಒಣಗಿದ ಕೊಂಬೆ ಹಸಿರು ಭಾಗ ಕಾಣುವವರೆಗೆ ಕತ್ತರಿಸಿ ಬೋರ್ಡೋ ಪೇಸ್ಟ್ ಹಚ್ಚಿ. ಇದರಿಂದ ರೋಗ ಕೆಳಕ್ಕೆ ಹರಡುವುದು ನಿಲ್ಲುತ್ತದೆ.
ಗೋಡಂಬಿ,ಅಂಟು ಒಸರುವಿಕೆ (Gummosis),ಲಾಸಿಯೋಡಿಪ್ಲೋಡಿಯಾ ಥಿಯೋಬ್ರೋಮೇ,ಅಂಟು ಒಸರುತ್ತಿರುವ ತೊಗಟೆಯನ್ನು ಕೆರೆದು ಸ್ವಚ್ಛ ಮಾಡಿ ಬೋರ್ಡೋ ಪೇಸ್ಟ್ ಹಚ್ಚಿ. ಇದರಿಂದ ರೋಗ ಕಾಂಡದ ಒಳಗೆ ಹರಡುವುದು ತಪ್ಪುತ್ತದೆ.
ಗೋಡಂಬಿ,ಎಲೆ ಸುರಳಿ ಕೀಟ (Leaf Miner),ಅಕ್ರೋಸರ್ಕೋಪ್ಸ್ ಸಿಂಗ್ರಾಮ್ಮಾ,ಸಣ್ಣ ಸಸಿಗಳಿಗೆ ಬೇವಿನ ಎಣ್ಣೆ ಅಥವಾ ಕ್ವಿನಾಲ್ ಫಾಸ್ ಸಿಂಪಡಿಸಿ. ಹೊಸ ಎಲೆಗಳ ಮೇಲೆ ಔಷಧ ಬೀಳಲಿ. ಗಿಡ ಬೆಳೆದಂತೆ ಇದು ಕಡಿಮೆಯಾಗುತ್ತದೆ.
ಗೋಡಂಬಿ,ಕಪ್ಪು ಬೂಷ್ಟು ರೋಗ (Sooty Mould),ಕ್ಯಾಪ್ನೋಡಿಯಂ ಪ್ರಭೇದ,ಮೊದಲು ಕೀಟ ಹತೋಟಿಗೆ ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ. ನಂತರ ಮೈದಾ ಗಂಜಿ ದ್ರಾವಣ ಸಿಂಪಡಿಸಿ. ಕಪ್ಪು ಪದರ ಒಣಗಿ ತಾನಾಗಿಯೇ ಉದುರುತ್ತದೆ.
ಗೋಡಂಬಿ,ಕೆಂಪು ತುಕ್ಕು ರೋಗ (Red Rust),ಸೆಫಲ್ಯೂರೋಸ್ ವೈರೆಸೆನ್ಸ್,ಎಲೆ ಮೇಲೆ ಕೆಂಪು ಕಲೆಗಳಿದ್ದರೆ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ. ಇದು ಪಾಚಿಯನ್ನು ನಿಯಂತ್ರಿಸಿ ಎಲೆ ಮತ್ತೆ ಹಸಿರಾಗಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ.
ಗೋಡಂಬಿ,ಬೂದಿ ರೋಗ (Powdery Mildew),ಓಡಿಯಂ ಪ್ರಭೇದ,ಮುಂಜಾನೆ ನೀರಿನಲ್ಲಿ ಕರಗುವ ಗಂಧಕ ಸಿಂಪಡಿಸಿ. ಇದು ಹೂವು ಉದುರುವುದು ತಪ್ಪಿಸಿ ಕಾಯಿ ಕಟ್ಟಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ.
ಗೋಡಂಬಿ,ಹಣ್ಣು ಮತ್ತು ಕಾಯಿ ಕೊರಕ,ಥೈಲೋಕಾಪ್ಟಿಸ್ / ಹೈಲೋಸ್ಪಿಲ್ಲಾ,ಬಿದ್ದ ಹಣ್ಣುಗಳನ್ನು ನಾಶಪಡಿಸಿ. ಕಾಯಿ ಬಟಾಣಿ ಗಾತ್ರವಿರುವಾಗ ಸ್ಪಿನೋಸ್ಯಾಡ್ ಅಥವಾ ಪ್ರೊಫೆನೋಫಾಸ್ ಸಿಂಪಡಿಸಿ.
ಗೋಡಂಬಿ,ನುಸಿ ಕೀಟ (Thrips),ಸಿರ್ಟೋಥ್ರಿಪ್ಸ್ ಡಾರ್ಸಾಲಿಸ್,ಹೂ ಬಿಡುವ ಸಮಯದಲ್ಲಿ ನುಸಿ ಹೆಚ್ಚಿದ್ದರೆ ಥಿಯಾಮೆಥೋಕ್ಸಾಮ್ ಸಿಂಪಡಿಸಿ. ಇದರಿಂದ ಕಾಯಿ ಕಟ್ಟುವಿಕೆ ಹೆಚ್ಚುತ್ತದೆ.
ಗೋಡಂಬಿ,ಎಲೆ ಚುಕ್ಕೆ ರೋಗ,ಪೆಸ್ಟಾಲೋಟಿಯಾ ಪ್ರಭೇದ,ಸಣ್ಣ ಸಸಿಗಳಿಗೆ ಮ್ಯಾಂಕೋಜೆಬ್ (2 ಗ್ರಾಂ/ಲೀ) ಸಿಂಪಡಿಸಿ. ಇದು ಸಸಿಗಳ ಎಲೆಗಳು ಹಾಳಾಗುವುದನ್ನು ತಡೆಯುತ್ತದೆ.
ಗೋಡಂಬಿ,ಚಿಗುರು ಕೊಳೆ ರೋಗ,ಫೈಟೊಪ್ಥೋರಾ ಪ್ರಭೇದ,ಮಳೆ ಆರಂಭಕ್ಕೂ ಮುನ್ನ ಬೋರ್ಡೋ ಮಿಶ್ರಣ (1%) ಸಿಂಪಡಿಸಿ. ಇದು ಚಿಗುರು ಕೊಳೆತು ಎಲೆ ಉದುರುವುದು ತಪ್ಪಿಸುತ್ತದೆ.
ಹತ್ತಿ,ಗುಲಾಬಿ ಕಾಯಿಕೊರಕ (Pink Bollworm),ಪೆಕ್ಟಿನೋಫೋರಾ ಗಾಸಿಪಿಯೆಲ್ಲಾ,ಎಕರೆಗೆ 5 ಲಿಂಗಾಕರ್ಷಕ ಬಲೆಗಳನ್ನು ಇಡಿ. ಬಾಡಿದ ಹೂವುಗಳನ್ನು ನಾಶಪಡಿಸಿ. ಹುಳು ಹೆಚ್ಚಾದರೆ ಪ್ರೊಫೆನೋಫಾಸ್ ಅಥವಾ ಎಮಾಮೆಕ್ಟಿನ್ ಬೆಂಜೋಯೇಟ್ ಸಿಂಪಡಿಸಿ. ಕೊಯ್ಲಿನ ನಂತರ ಆಡು-ಕುರಿಗಳನ್ನು ಮೇಯಿಸಿ ಅಥವಾ ಆಳವಾಗಿ ಉಳುಮೆ ಮಾಡಿ.
ಹತ್ತಿ,ಅಮೆರಿಕನ್ ಕಾಯಿಕೊರಕ,ಹೆಲಿಕೋವರ್ಪ ಆರ್ಮಿಜೆರಾ,ಹೊಲದ ಸುತ್ತ ಚೆಂಡು ಹೂವು ಅಥವಾ ಅಳಸಂದಿ ಬೆಳೆಯಿರಿ. ಪಕ್ಷಿಗಳು ಕೂರಲು ಅಟ್ಟಿಗಳನ್ನು (Bird perches) ಮಾಡಿ. ಹುಳು ಹೆಚ್ಚಾದರೆ ಸ್ಪಿನೋಸ್ಯಾಡ್ ಅಥವಾ ಇಂಡೋಕ್ಸಾಕಾರ್ಬ್ ಸಿಂಪಡಿಸಿ. ಒಂದೇ ಔಷಧಿಯನ್ನು ಪದೇ ಪದೇ ಬಳಸಬೇಡಿ.
ಹತ್ತಿ,ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ (Black Arm),ಜಾಂಥೋಮೋನಾಸ್ ಆಕ್ಸೋನೋಪೋಡಿಸ್,ಬಿತ್ತನೆ ಮುನ್ನ ಸ್ಟ್ರೆಪ್ಟೋಸೈಕ್ಲಿನ್‌ನಿಂದ ಬೀಜೋಪಚಾರ ಮಾಡಿ. ರೋಗ ಕಂಡಾಗ 1 ಲೀ ನೀರಿಗೆ 3 ಗ್ರಾಂ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಮತ್ತು 1 ಗ್ರಾಂ ಸ್ಟ್ರೆಪ್ಟೋಸೈಕ್ಲಿನ್ (10 ಲೀ ನೀರಿಗೆ) ಬೆರೆಸಿ ಸಿಂಪಡಿಸಿ. ಹಳೆಯ ಗಿಡಗಳನ್ನು ನಾಶಪಡಿಸಿ.
ಹತ್ತಿ,ಎಲೆ ಮುದುರು ವೈರಸ್,ಕಾಟನ್ ಲೀಫ್ ಕರ್ಲ್ ವೈರಸ್,ಬಿಳಿ ನೊಣಗಳನ್ನು ಹತೋಟಿ ಮಾಡಿ. ಹಳದಿ ಅಂಟು ಬಲೆ ಬಳಸಿ ಮತ್ತು ಬಿಳಿ ನೊಣ ಹೆಚ್ಚಾದಾಗ ಬೇವಿನ ಎಣ್ಣೆ ಅಥವಾ ಡಯಾಫೆನ್ ಥಿಯುರಾನ್ ಸಿಂಪಡಿಸಿ. ರೋಗ ನಿರೋಧಕ ತಳಿ ಬೆಳೆಯಿರಿ. ಪೀಡಿತ ಗಿಡಗಳನ್ನು ಕಿತ್ತುಹಾಕಿ.
ಹತ್ತಿ,"ರಸ ಹೀರುವ ಕೀಟಗಳು (ನುಸಿ, ಜಿಗಿ)",ಥ್ರಿಪ್ಸ್ ಟಬಾಕಿ / ಅಮ್ರಾಸ್ಕಾ ಬಿಗುಟುಲ್ಲಾ,ಬಿತ್ತನೆ ಮುನ್ನ ಇಮಿಡಾಕ್ಲೋಪ್ರಿಡ್‌ನಿಂದ ಬೀಜೋಪಚಾರ ಮಾಡಿ. ನಂತರ ಅಸಿಟಾಮಿಪ್ರಿಡ್ ಅಥವಾ ಫ್ಲೋನಿಕಾಮಿಡ್ ಸಿಂಪಡಿಸಿ. ಅಂಟು ಬಲೆಗಳನ್ನು ಬಳಸಿ. ಇದು ಎಲೆ ಮುದುಡುವುದನ್ನು ಮತ್ತು ಇಳುವರಿ ನಷ್ಟವನ್ನು ತಪ್ಪಿಸುತ್ತದೆ.
