Plant Common Name ,Disease Name (Type),Treatment Methods (Human-Friendly Guide)
Cotton,"Sucking Pests (Jassids, Aphids, Thrips)","Treat seeds with Imidacloprid for early protection. If pests appear later, spray Acetamiprid or Flonicamid. Use yellow sticky traps to reduce insects. Avoid unnecessary spraying when helpful insects are present. Correct spraying at the right time prevents leaf curling and yield loss."
Cotton,Whitefly,"Spray Neem oil, Spiromesifen, or Pyriproxyfen when whiteflies increase. Always spray on the lower side of leaves, where they hide. Do not use too much urea fertilizer. Keep field borders free from weeds. Proper control prevents virus spread and black leaf coating."
Cotton,Mealybug,"First destroy ant nests, as ants protect mealybugs. Spray Profenophos or Buprofezin directly on white cotton-like insects. For small attack, wash insects with strong water spray. If attack is heavy, remove and burn infected plants immediately to stop spreading."
Cotton,Alternaria Leaf Spot,Spray Mancozeb (2.5 g per litre) or Propiconazole (1 ml per litre) when brown spots appear. Repeat after 10–15 days if needed. Apply enough potash fertilizer. Remove fallen infected leaves from the field to reduce disease spread.
Cotton,Grey Mildew (Dahiya),"When white powder appears on leaves, spray Wettable Sulphur (3 g per litre) or Carbendazim. One or two sprays are usually enough. Early spraying prevents leaf fall and helps proper boll formation at later crop stages."
Cotton,Root Rot,"Treat seeds with Trichoderma before sowing. If affected patches appear, drench soil around them with Copper Oxychloride. Improve drainage and avoid water stagnation. Early prevention is very important, as infected plants cannot be saved later."
Cotton,Fusarium Wilt,Use wilt-resistant cotton varieties. Mix Trichoderma with compost and apply to soil during planting. Follow crop rotation with maize or jowar. These methods reduce fungus in soil and protect future crops.
Cotton,Parawilt (Sudden Wilt),"Remove excess water immediately after heavy rain or irrigation. Spray 2% urea or DAP solution on leaves to help plants recover. If available, drench roots with Cobalt Chloride. Proper water management prevents further plant damage."
Cotton,Stem Weevil,"Do earthing up around the base of plants to stop egg laying. Drench the stem base with Chlorpyriphos. After harvest, remove and burn cotton stalks to kill hidden insects. This reduces next season’s attack."
Cotton,Tobacco Caterpillar (Spodoptera),"Crush egg masses seen on leaves. Install pheromone traps. If caterpillars increase, spray Novaluron or Thiodicarb. Use poison bait (rice bran + jaggery + pesticide) in the evening. Early control prevents heavy leaf damage."
Cucumber,Downy Mildew,"This is the most dangerous disease. You will see yellow, angular spots on the top of leaves and a violet/grey fuzz underneath. It spreads fast in wet weather. Spray Metalaxyl + Mancozeb (2.5g/liter) or Cymoxanil immediately. Don't water from overhead; keep leaves dry. If not treated, the plant will burn up quickly."
Cucumber,Powdery Mildew,"Look for white, flour-like powder on leaves and stems. It usually happens in dry, warm weather. Spray wettable Sulphur (2g/liter) or Karathane. A home remedy is to spray a mix of baking soda and water, or diluted milk (1 part milk, 9 parts water). Remove leaves that are heavily coated."
Cucumber,Cucumber Mosaic Virus,"Leaves become mottled (mix of light and dark green), wrinkled, and misshapen. Fruits become bumpy and bitter. There is no medicine for this virus. Remove and bury infected plants immediately. Control the Aphids that spread it by using yellow sticky traps and spraying Neem oil or Imidacloprid."
Cucumber,Fruit Fly,"This fly lays eggs inside the fruit. The maggots eat the inside, causing the fruit to rot and drop. This is a major headache for farmers. Use ""Pheromone Traps"" (fruit fly lures) to catch male flies (4-6 traps per acre). Collect and bury all fallen fruits deep in the soil so maggots don't survive. You can also spray Neem oil to repel them."
Cucumber,Anthracnose,"You will see reddish-brown spots on leaves and sunken, slimy salmon-pink spots on the fruit. This happens often in warm, rainy weather. Treat seeds with Carbendazim before planting. If you see spots, spray Chlorothalonil or Mancozeb (2.5g/liter). Rotate crops—don't plant cucumber in the same spot every season."
Cucumber,Angular Leaf Spot,"Small, water-soaked spots appear on leaves that look square or angular (because veins stop them). The dead tissue falls out, leaving ""shot holes."" Avoid overhead sprinklers. Spray Copper Oxychloride (2.5g/liter) or Streptocycline to stop this bacteria. Don't work in the field when plants are wet."
Cucumber,Fusarium Wilt,"The plant turns yellow and wilts slowly, usually starting from older leaves. If you cut the stem near the soil, you see brown streaks inside. Use resistant seeds. Drench the soil with Trichoderma viride (bio-fungicide) or Carbendazim. This fungus stays in soil for years, so rotate with crops like corn or spinach."
Cucumber,Gummy Stem Blight,"The stem turns brown and may split, oozing a gummy, amber-colored sticky fluid. Leaves may develop large brown spots. Spray Mancozeb or Chlorothalonil. Improve air circulation by pruning extra vines. Avoid wetting the stems while watering. Clean up all plant debris after harvest."
Cucumber,Root Knot Nematode,"Plants look weak, stunted, and yellow, even if you water them well. If you pull up the roots, they have swollen knots or galls. Add plenty of Neem cake to the soil before planting. Plant Marigold flowers between rows to repel them. Solarize the soil (cover with plastic in summer) to kill them with heat."
Cucumber,Red Pumpkin Beetle,"Bright orange/red beetles eat holes in young leaves and flowers. The grubs (babies) eat the roots underground. Pick and kill beetles by hand in the early morning when they are sluggish. Dust wood ash on the leaves to repel them. If the attack is heavy, spray Chlorpyriphos or Malathion carefully."
Cucumber,Thrips,"Tiny insects that scrape the leaves, making them look silvery or bronze. They can also damage the fruit skin. Use blue sticky traps to catch them. Spray Fipronil or Spinosad if the population is high. Keep the field free of weeds where they like to hide."
Cucumber,Aphids,"Small green or black bugs cluster on the underside of leaves and suck sap. They leave a sticky residue (honeydew) that turns black (sooty mold). Spray simple soapy water or Neem oil first. If that doesn't work, use Imidacloprid. Ladybugs are friends—they eat aphids, so don't kill them!"
Cucumber,Leaf Miner,"You will see white, snake-like winding trails on the leaves. The maggot is inside the leaf eating its way through. Usually, you don't need heavy chemicals. Remove leaves with many trails. Spray Neem Seed Kernel Extract (NSKE 5%) to stop the adult fly from laying eggs."
Grape,Downy Mildew,"This is the biggest threat in rainy/cloudy weather. Look for yellow ""oil spots"" on top of leaves and white fungal growth underneath. Spray Bordeaux mixture (1%) or Copper Oxychloride immediately. If the attack is severe, use systemic fungicides like Metalaxyl or Cymoxanil. Prune extra shoots to keep the canopy open so air flows through."
Grape,Powdery Mildew,"White, ash-like powder covers the leaves and berries. This happens in cool, dry weather. The berries may crack and rot. Dust Sulphur powder (20kg/acre) or spray Wettable Sulphur. If the infection is high, use fungicides like Hexaconazole or Myclobutanil. Keep the center of the vine open to sunlight."
Grape,Anthracnose (Bird's Eye Spot),You will see small brown spots with grey centers and red borders on leaves and berries (looks like a bird’s eye). It spreads fast in rain. Prune and burn infected twigs. Spray Copper Oxychloride or Thiophanate Methyl. Do this early when new shoots appear after pruning to protect the young growth.
Grape,Mealybug,"White, cotton-like masses appear on stems and bunches. They suck sap and make the fruit sticky and black (sooty mold). Ants protect them, so kill ant nests first. Wash the vines with a strong water jet. Spray Buprofezin or Methomyl. Applying a sticky grease band around the main trunk stops them from climbing up."
Grape,Thrips,"These tiny insects scratch the berry skin, causing ""corky"" or scabby brown patches (scab). This destroys the market value of the fruit. Use blue sticky traps to monitor them. Spray Fipronil or Spinosad during the berry setting stage. Keep the vineyard weed-free."
Grape,Flea Beetle,"This beetle eats the swelling buds just after pruning. If they eat the bud, you lose the whole bunch for that season. It is very dangerous. Identify them by the ""shot holes"" they make in leaves. Spray Phosalone or Quinalphos immediately after pruning if you see beetles. Loose bark on the trunk should be removed as they hide there."
Grape,Bacterial Leaf Spot,"Small water-soaked spots appear on leaves and stems, eventually drying up and cracking. It often strikes after heavy rain or hail. Spray Streptocycline (0.5g/liter) mixed with Copper Oxychloride. Avoid overhead sprinkling. Do not perform pruning or handling when the vines are wet."
Grape,Stem Borer,The vine looks weak and leaves turn yellow. Look for holes in the main trunk with wood dust (sawdust) coming out. Clean the hole with a wire. Insert a cotton wick soaked in Dichlorvos or petrol into the hole and seal it with mud/clay. This kills the worm inside.
Grape,Mites,"Leaves turn reddish-brown or bronze and look dusty. This happens in hot, dry weather. They spin fine webs on the underside of leaves. Spray Dicofol or Wettable Sulphur. Avoid using synthetic pyrethroids (like Cypermethrin) as they can actually make mite problems worse."
Grape,Berry Cracking,"Fruits split open, usually after sudden rain near harvest. This is often due to irregular watering or Calcium deficiency. Maintain consistent soil moisture (don't let it get too dry then flood it). Spray Calcium Chloride and Boron during berry development to strengthen the skin."
Grape,Dead Arm (Phomopsis),"Dark, canoe-shaped spots appear on the bottom of shoots. The cane may break easily. It weakens the vine over years. Prune out dead wood during the dormant season. Spray Mancozeb or Copper fungicides just as the buds are breaking (opening) to protect new growth."
Corn,Fall Armyworm (FAW),"This is the biggest new threat. The caterpillar hides inside the central funnel (whorl) and eats leaves, leaving lots of ""sawdust"" poop. It has a ""Y"" mark on its head. In early stages, spray Emamectin Benzoate or Spinetoram. You can also put wet sand or soil mixed with ash into the funnel to suffocate the worm."
Corn,Maize Stem Borer,"The worm bores into the stem. You will see ""pinholes"" in lines on the leaves. If it attacks young plants, the central leaf dries up (Dead Heart). Apply Carbofuran granules (3-4 granules per plant) directly inside the leaf whorl/funnel. If spraying, use Chlorantraniliprole. Remove dead stalks from the field after harvest so they don't hide there."
Corn,Turcicum Leaf Blight,"Long, boat-shaped grey/brown spots appear on leaves. It looks like the leaf was burnt. It usually comes when the weather is cool and humid. Spray Mancozeb (2.5g/liter) or Zineb as soon as you see the spots. If the disease is severe, use Propiconazole. Plant resistant hybrids if this is common in your area."
Corn,Common Rust,"You will see small, powdery brown bumps (pustules) on both sides of the leaves. It looks like rust on iron. This happens in cool, wet weather. Usually, Indian maize is tough enough to handle this, but if the infection is very high, spray Mancozeb (2g/liter) or Wettable Sulphur to stop it from spreading."
Corn,Downy Mildew,"Leaves develop yellow/white stripes and look velvety underneath. In severe cases, the tassel (flower) becomes leafy and deformed (""Crazy Top""). This starts from the soil or seeds. Treat seeds with Metalaxyl before sowing (6g/kg). Remove and bury infected plants immediately. Do not plant maize in the same field year after year."
Corn,Charcoal Rot,"The plant stalks become weak and rot near the ground, often falling over. If you split the stalk, the inside looks black and dusty like charcoal. This happens when the weather is very hot and dry after flowering. The best prevention is regular irrigation—don't let the soil crack from dryness. Use Trichoderma in the soil."
Corn,Shoot Fly,This attacks very young seedlings (up to 2 weeks old). The central leaf wilts and dries up. It is worse if you plant late. Treat seeds with Imidacloprid (10ml/kg) before sowing. Use a higher seed rate (plant extra seeds) so you can pull out the damaged ones and still have a full field.
Corn,Termites,"They eat the roots and base of the stem, and the plant falls over. This is common in dry, sandy red soils. Mix Chlorpyriphos or Fipronil dust in the soil before planting. If the standing crop is attacked, drench the soil with Chlorpyriphos (4ml/liter of water) near the plant base. Avoid using raw (undecomposed) farmyard manure."
Corn,Banded Leaf & Sheath Blight,"You will see large, dirty-colored spots with bands on the leaves and the sheath (the part of the leaf hugging the stem). It spreads from the ground up. Remove the lower leaves that touch the ground. Spray Propiconazole or Hexaconazole if the disease moves up towards the corn cob."
Corn,Maydis Leaf Blight,"Small, diamond-shaped or rectangular yellow-brown spots appear on leaves. The spots may merge and kill the whole leaf. It is common in warm, wet areas. Spray Mancozeb (2.5g/liter) or Dithane M-45. Crop rotation helps because the fungus survives on old corn trash in the field."
Orange,Citrus Canker,"You will see rough, brown, raised corky spots on leaves and fruit. It spreads fast in wet weather. Prune and burn infected twigs first. Spray Copper Oxychloride (3g/liter) mixed with Streptocycline (1g in 10 liters). Since this is bacterial, adding the antibiotic (Streptocycline) is very important. To prevent it, plant windbreaks (tall trees) around the orchard to stop wind-blown bacteria."
Orange,Gummosis (Foot Rot),"Dark gum oozes from the trunk near the ground, and the bark rots. This happens if the soil is too wet. Scrape the infected bark with a sharp knife until you reach healthy wood. Apply Bordeaux Paste on the wound. Drench the soil around the roots with Metalaxyl or Copper Oxychloride. Ensure water does not touch the main trunk during irrigation (use the double-ring method)."
Orange,Citrus Greening,"Leaves show yellow mottling (patches of yellow and green), and fruits stay small, green, and bitter. This is spread by a tiny insect called Psylla. There is no cure for the disease itself. You must cut down infected trees to save the rest. Control the Psylla insect by spraying Imidacloprid or Dimethoate regularly."
Orange,Die-Back,Branches start drying from the tip downwards (like a burning candle). Leaves fall off and the tree looks thin. This is often due to poor nutrition or root problems. Prune the dead branches 2–3 inches into the healthy green wood. Apply Copper Oxychloride paste on cut ends. Feed the tree well with fertilizers and micronutrients (Zinc/Boron) to boost its strength.
Orange,Leaf Miner,"You will see shiny, silvery zig-zag trails on young leaves. The leaves curl and look ugly. This attacks the tender new growth (flush). Spray Neem oil (10ml/liter) or Imidacloprid as soon as new leaves appear. Since the worm is inside the leaf, simple contact poisons don't work well; systemic medicines are better."
Orange,Fruit Sucking Moth,This moth pierces ripe fruit at night to drink juice. The fruit rots and falls after a few days. Insecticides don't work well because the moth flies away. The best solution is to destroy fallen rotting fruits daily so they don't attract more moths. You can also hang poison baits (jaggery water + pesticide) in the orchard.
Orange,Citrus Psylla,"A small louse that sits on new buds. It spreads the deadly Greening disease. If you see them, spray Monocrotophos or Thiamethoxam immediately. Pruning the orchard to keep it open and airy helps reduce their population. Protecting new flush (new leaves) is the most critical time to spray."
Orange,Aphids,"Black or green bugs cluster on the underside of tender leaves and suck sap. They leave sticky honeydew which turns into black soot (Sooty Mold). They also spread the Tristeza Virus. Spray Dimethoate or soapy water. Ladybugs eat them, so try to use milder sprays like Neem oil first to save the friendly insects."
Orange,Powdery Mildew,"White powder appears on young leaves and small fruits. The leaves may twist and fall. This happens in cool, dry mornings. Spray Wettable Sulphur (3g/liter) or Karathane. Removing water shoots (fast-growing weak branches) helps air circulation and reduces this disease."
Orange,Lemon Butterfly,"For small gardens, simply hand-pick the caterpillars. Note: The young ones look exactly like bird droppings, while older ones are bright green. If the infestation is high, spray Bacillus thuringiensis (Bt) at 2g/liter or Neem oil (5ml/liter) for a natural cure. For severe attacks in large orchards, spray Quinalphos or Chlorpyriphos. Check new leaves often during monsoon, as they can eat all the leaves in just a few days."
Paddy,Rice Blast (Fungal),"This causes ""burnt"" spots on leaves or broken ""necks."" To treat, spray Tricyclazole (0.6g/liter) or Carbendazim (1g/liter). Avoid using too much Urea, which makes plants weak. Treat seeds with Pseudomonas fluorescens (10g/kg) before sowing. If ""Neck Blast"" appears during the grain stage, spray immediately to save your yield and prevent empty grains."
Paddy,Brown Spot (Fungal),"Small, oval brown spots appear on leaves, often in weak soil. Fix this by improving soil health with balanced fertilizers (NPK) and Zinc. If the infection is heavy, spray Mancozeb (2g/liter) or Edifenphos (1ml/liter). Soaking seeds in hot water (52°C) for 10 minutes before planting can kill hidden spores. It is often a ""disease of the poor soil,"" so good manuring helps prevent it."
Paddy,Bacterial Leaf Blight (Bacterial),"This causes long, wavy yellow-white streaks from leaf tips. It spreads fast in wind and rain. There is no easy cure, but spraying Streptocycline (1g in 10L) mixed with Copper Oxychloride (20g) helps slow it down. Reduce Nitrogen levels and drain the field for a few days to stop bacteria from moving through the water to healthy plants."
Paddy,Sheath Blight (Fungal),"Look for greenish-grey ""snake-skin"" patches on leaf sheaths near the water line. It loves crowded, wet fields. To treat, spray Hexaconazole (2ml/liter) or Validamycin (2ml/liter) directly at the base of plants where the stem meets the water. Keep the field free of weeds and avoid planting too closely; wider spacing allows air to dry out the dampness."
Paddy,False Smut (Fungal),"Grains turn into large, velvety orange-to-black ""smut balls"" during flowering in cool, rainy weather. Once balls appear, they cannot be cured. Prevention is key: spray Copper Oxychloride (2.5g/liter) or Propiconazole (1ml/liter) during the ""booting"" stage (just before grain-heads emerge). Remove and burn any smut balls seen to prevent the fungus from staying in the soil."
Paddy,Sheath Rot (Fungal),"This rots the leaf sheath covering the young grain-head, stopping it from coming out fully. It usually happens when insects wound the plant. Spray Carbendazim (1g/liter) or Mancozeb (2g/liter) at the ""booting"" stage. Controlling stem borers and other insects is vital, as their bites create the entry points for this fungus to infect the plant from inside."
Paddy,Rice Tungro (Viral),"Plants turn orange-yellow and stop growing (stunted). This virus is spread by Green Leafhoppers. You cannot treat the virus itself, so you must kill the insects. Spray Imidacloprid (0.5ml/liter) or Thiamethoxam immediately. Pull out and bury infected yellow plants instantly. Using resistant varieties like Vikramarya is the most effective way to avoid this disease entirely."
Paddy,Bakanae / Foot Rot (Fungal),"Some plants grow much taller and thinner than others, eventually turning pale and dying. This is a seed-borne disease. The best treatment is seed soaking: treat seeds with Carbendazim (2g/kg) before sowing. If you see these ""foolish"" tall seedlings in the field, pull them out carefully and destroy them so they don’t spread the fungus into the soil for next year."
Paddy,Stem Rot (Fungal),"Small black spots appear on the leaf sheath at the water level; later, the stem rots and the plant falls over. Draining the water and letting the soil crack for a few days can stop the fungus from spreading. Apply extra Potassium (Potash) to strengthen the stem walls. If severe, drench the base of plants with Thiophanate-methyl (1g/liter) to protect the stem."
Paddy,Grain Discoloration (Complex),"Grains turn black, red, or dark brown, making them look dirty and reducing market price. This is caused by various germs attacking during the ""milky"" stage. To prevent this, spray a combination of Mancozeb and Carbendazim (2g/liter) when grains are just forming. Ensure the field is free of weeds, as they act as a home for these germs between seasons."
Paddy,Khaira Disease (Zinc Deficiency),"This is a nutritional problem, not a germ. Spray Zinc Sulphate (5g) mixed with Lime (2.5g) in 1 liter of water as soon as you see dusty brown spots. For a 1-acre field, use 2kg Zinc Sulphate with 1kg Lime in 400 liters of water. For future crops, apply Zinc Sulphate (25kg per hectare) directly into the soil during land preparation."
Paddy,Bacterial Leaf Streak (Bacterial),"This appears as fine, transparent streaks between leaf veins. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (20g). Avoid excess Nitrogen, which makes leaves soft and easy to infect. Keep water levels low and avoid moving through the field while plants are wet to prevent spreading the bacteria on your clothes or tools to healthy areas."
Paddy,Narrow Brown Leaf Spot (Fungal),"You will see thin, short brown lines on the leaves. It usually happens in soils lacking Potassium. To treat, spray Propiconazole (1ml/liter) or Mancozeb (2g/liter) at the booting stage. The best long-term solution is to ensure you apply enough Muriate of Potash (MOP) during the early stages of the crop to make the plants naturally resistant."
Paddy,Ufra Disease (Nematode),"Caused by tiny worms in the soil. Apply Carbofuran 3G granules (10-12 kg per acre) into the standing water. After harvesting, burn the left-over stubble or plow the field deeply during summer to kill the worms hiding in the soil. Rotating your crop with non-cereal plants like pulses for one season will starve the worms and clean the field naturally."
Paddy,Udbatta Disease (Fungal),"The grain-head comes out looking like a thin, silvery-white ""candle"" instead of grains. This lives inside the seed, so treat seeds with hot water (52°C) or Carbendazim (2g/kg) before planting. If you see ""candle"" heads in the field, pull them out carefully and bury them immediately so the black powder doesn't blow onto healthy plants or infect the soil."
