Vegetable Common Name ,Disease Name (Type),Scientific name,Treatment Methods
ಏರ್ ಪೊಟಾಟೋ,ಮೃದು ಕೊಳೆತ  (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),ಎರ್ವಿನಿಯಾ (Erwinia),"ಗೆಡ್ಡೆ ಮೆತ್ತಗಾಗಿ ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತದೆ. ಕೊಳೆತ ಗೆಡ್ಡೆಯ ದ್ರವ ಸೋಕಿ ಬೇರೆ ಗೆಡ್ಡೆ ಹಾಳಾಗದಂತೆ ಕೂಡಲೇ ತೆಗೆದು ನಾಶಪಡಿಸಿ. ಶೇಖರಣಾ ಕೊಠಡಿ ತಂಪಾಗಿ ಮತ್ತು ಒಣಗಿರಲಿ. ಗೆಡ್ಡೆಯನ್ನು ತೊಳೆಯಬೇಡಿ, ಮಣ್ಣನ್ನು ಬ್ರಷ್ ಮಾಡಿ. ಕತ್ತರಿಯನ್ನು ಬ್ಲೀಚ್ ನಿಂದ ಸ್ವಚ್ಛಗೊಳಿಸಿ."
ಏರ್ ಪೊಟಾಟೋ,ನುಸಿ ಬಾಧೆ / ನೆಮಟೋಡ್  (ಪರಾವಲಂಬಿ ಜೀವಿ),ಮೆಲೋಯಿಡೋಜೈನ್ (Meloidogyne species),ಸೂಕ್ಷ್ಮ ಜೀವಿಗಳು ಸಿಪ್ಪೆಯ ಕೆಳಗೆ ಕಪ್ಪು ಒಣ ಕೊಳೆತ ಉಂಟುಮಾಡುತ್ತವೆ. ರೋಗಮುಕ್ತ ಬಿತ್ತನೆ ಗೆಡ್ಡೆ ಬಳಸಿ. ಮಣ್ಣಿನಲ್ಲಿ ಸೋಂಕಿದ್ದರೆ 3 ವರ್ಷ ಅಲ್ಲಿ ಇದನ್ನು ಬೆಳೆಯಬೇಡಿ. ಬಿತ್ತನೆಗೆ ಮುನ್ನ ಗೆಡ್ಡೆಯನ್ನು 50 ಡಿಗ್ರಿ ಬಿಸಿ ನೀರಿನಲ್ಲಿ 30 ನಿಮಿಷ ಅದ್ದಿದರೆ ನುಸಿ ಸಾಯುತ್ತದೆ.
ಏರ್ ಪೊಟಾಟೋ,ನೀಲಿ ಬೂಷ್ಟು  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಪೆನಿಸಿಲಿಯಮ್ ಎಕ್ಸ್‌ಪಾನ್ಸಮ್ (Penicillium expansum),"ಶೇಖರಣೆಯಲ್ಲಿ ಗೆಡ್ಡೆಯ ಮೇಲೆ ನೀಲಿ ಬೂಷ್ಟು ಬರುತ್ತದೆ. ಗಾಯದ ಮೂಲಕ ಇದು ಒಳಸೇರುತ್ತದೆ, ಆದ್ದರಿಂದ ಎಚ್ಚರಿಕೆಯಿಂದ ನಿರ್ವಹಿಸಿ. ತೇವಾಂಶ ಕಡಿಮೆ ಮಾಡಿ. ಸೋಂಕು ಮೇಲ್ಭಾಗದಲ್ಲಿದ್ದರೆ ವಿನೆಗರ್ ಬಟ್ಟೆಯಿಂದ ಒರೆಸಿ. ವಾರಕ್ಕೊಮ್ಮೆ ಪರೀಕ್ಷಿಸಿ ಕೊಳೆತ ಗೆಡ್ಡೆ ತೆಗೆಯಿರಿ."
ದಂಟಿನ ಸೊಪ್ಪು,ಕಾಂಡದ ಮೂತಿ ಹುಳು / ವೀವಿಲ್  (ಕೀಟ ಬಾಧೆ),ಲಿಂಡಿಯೋಡರ್ಮೆರಸ್ (Lindaoderus),ಕಾಂಡ ಅಲ್ಲಲ್ಲಿ ಊದಿಕೊಂಡು ಗಿಡ ಮುರಿಯುತ್ತದೆ. ಹುಳು ಕಾಂಡದೊಳಗೆ ಇರುತ್ತದೆ. ರೋಗ ಬಂದ ಗಿಡ ಕಿತ್ತು ನಾಶಪಡಿಸಿ. ಹುಳು ಹೆಚ್ಚಾಗುವ ಮುನ್ನವೇ ಸೊಪ್ಪು ಕೊಯ್ಲು ಮಾಡಿ. ಕಳೆ ಇಲ್ಲದಂತೆ ಸ್ವಚ್ಛವಾಗಿಡಿ.
ದಂಟಿನ ಸೊಪ್ಪು,ಬಿಳಿ ತುಕ್ಕು ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಅಲ್ಬುಗೋ ಕ್ಯಾಂಡಿಡಾ (Albugo candida),"ಎಲೆಯ ಅಡಿಯಲ್ಲಿ ಬಿಳಿ ಬೊಕ್ಕೆ ಮತ್ತು ಮೇಲ್ಭಾಗದಲ್ಲಿ ಹಳದಿ ಮಚ್ಚೆ ಬರುತ್ತದೆ. ಗಿಡದ ಮೇಲೆ ನೀರು ಬೀಳಿಸಬೇಡಿ (ಸ್ಪ್ರಿಂಕ್ಲರ್ ಬೇಡ). ಆಗಾಗ ಸೊಪ್ಪು ಕೊಯ್ಲು ಮಾಡಿ. ರೋಗ ಹೆಚ್ಚಿದ್ದರೆ ಕಾಪರ್ ಯುಕ್ತ ಶಿಲೀಂಧ್ರನಾಶಕ ಸಿಂಪಡಿಸಿ, ಆದರೆ ನಂತರ 7-10 ದಿನ ಕೊಯ್ಲು ಮಾಡಬೇಡಿ."
ದಂಟಿನ ಸೊಪ್ಪು,ಎಲೆ ಅಂಗಮಾರಿ / ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಆಲ್ಟರ್ನೇರಿಯಾ (Alternaria),ಮಳೆಗಾಲದಲ್ಲಿ ಎಲೆಯ ಮೇಲೆ ನೀರು ಹೀರಿದ ಚುಕ್ಕೆ ಬಂದು ಕೊಳೆಯುತ್ತದೆ. ನೀರು ನಿಲ್ಲದಂತೆ ಮಾಡಿ. ಗಿಡಗಳು ಹೆಚ್ಚು ಒತ್ತಾಗಿರಬಾರದು. ಸೋಂಕಿತ ಗಿಡ ತೆಗೆಯಿರಿ. ಗೋಮೂತ್ರ (1:10 ಪ್ರಮಾಣದಲ್ಲಿ) ಅಥವಾ ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ ತಡೆಯಬಹುದು.
ದಂಟಿನ ಸೊಪ್ಪು,ಎಲೆ ಸುತ್ತುವ ಹುಳು  (ಕೀಟ ಬಾಧೆ),ಆರ್ಕಿಪ್ಸ್ (Archips),ಹುಳು ಎಲೆಗಳನ್ನು ಸುರುಳಿ ಸುತ್ತಿ ಒಳಗೆ ತಿನ್ನುತ್ತದೆ. ಸುರುಳಿ ಸುತ್ತಿದ ಎಲೆಯನ್ನು ಹಿಂಡಿ ಹುಳು ಕೊಲ್ಲಿ ಅಥವಾ ಹುಳು ಆರಿಸಿ ತೆಗೆಯಿರಿ. ಶೇ. 5 ರ ಬೇವಿನ ಬೀಜದ ಕಷಾಯ (NSKE) ಸಿಂಪಡಿಸುವುದು ಸುರಕ್ಷಿತ.
ದಂಟಿನ ಸೊಪ್ಪು,ಸಸಿ ಕೊಳೆ ರೋಗ / ಡ್ಯಾಂಪಿಂಗ್ ಆಫ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಪೈಥಿಯಂ (Pythium),ಎಳೆ ಸಸಿಗಳ ಬುಡ ಕೊಳೆತು ಸಸಿ ಬಿದ್ದುಹೋಗುತ್ತದೆ. ಶುದ್ಧ ಮಣ್ಣು ಬಳಸಿ. ಅತಿಯಾಗಿ ನೀರು ಕೊಡಬೇಡಿ. ಬಿತ್ತನೆಗೆ ಮುನ್ನ ಬೀಜಕ್ಕೆ ಟ್ರೈಕೋಡರ್ಮ ಲೇಪಿಸಿ. ಸಸಿಗಳಿಗೆ ಬಿಸಿಲು ಮತ್ತು ಗಾಳಿ ಸಿಗುವಂತೆ ಮಾಡಿ.
ದಂಟಿನ ಸೊಪ್ಪು,ಜಿಗಿ ಹೇನು / ಆಫಿಡ್ಸ್  (ಕೀಟ ಬಾಧೆ),ಆಫಿಸ್ ಗೋಸಿಪಿ (Aphis gossypii),ಎಲೆಯ ಅಡಿಯಲ್ಲಿ ಗುಂಪು ಗುಂಪಾಗಿರುವ ಕೀಟ ರಸ ಹೀರುವುದರಿಂದ ಎಲೆ ಮುದುರುತ್ತದೆ. ಜೋರಾಗಿ ನೀರು ಸಿಂಪಡಿಸಿ ತೊಳೆಯಿರಿ. ಸಾಬೂನು ನೀರು ಅಥವಾ ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ. ಲೇಡಿಬಗ್ ನಂತಹ ಮಿತ್ರ ಕೀಟಗಳನ್ನು ಪ್ರೋತ್ಸಾಹಿಸಿ.
ದಂಟಿನ ಸೊಪ್ಪು,ಮೊಸೈಕ್ ವೈರಸ್  (ವೈರಸ್ ರೋಗ),ಮೊಸೈಕ್ ವೈರಸ್ (Mosaic Virus),ಎಲೆಗಳ ನರ ಹಳದಿಯಾಗಿ ಎಲೆ ಸಣ್ಣದಾಗಿ ಮುದುರುತ್ತದೆ. ರೋಗ ಬಂದ ಗಿಡ ಕಿತ್ತು ಹಾಕಿ. ಇದನ್ನು ಹರಡುವ ಜಿಗಿಹೇನು ನಿಯಂತ್ರಿಸಿ. ಕಳೆ ಇಲ್ಲದಂತೆ ನೋಡಿಕೊಳ್ಳಿ.
ಅಂಬಟೆಕಾಯಿ,ಎಲೆ ತಿನ್ನುವ ದುಂಬಿ  (ಕೀಟ ಬಾಧೆ),ಅಡೋರೆಟಸ್ (Adoretus),"ದೊಡ್ಡ ಬಣ್ಣದ ದುಂಬಿಗಳು ಜೂನ್-ಜುಲೈ ತಿಂಗಳಲ್ಲಿ ಎಲೆ ತಿಂದು ಮರ ಬೋಳಾಗಿಸುತ್ತವೆ. ಬೆಳಿಗ್ಗೆ ದುಂಬಿಗಳು ಚುರುಕಾಗಿರುವುದಿಲ್ಲ, ಆಗ ಕೈಯಿಂದ ಹಿಡಿದು ನಾಶಪಡಿಸಿ. ಬೇಸಿಗೆಯಲ್ಲಿ ಮರದ ಬುಡದ ಮಣ್ಣು ಅಗೆದರೆ ಕೋಶಾವಸ್ಥೆಯಲ್ಲಿರುವ ಕೀಟ ಸಾಯುತ್ತದೆ."
ಅಂಬಟೆಕಾಯಿ,ಹಣ್ಣು ನೊಣ  (ಕೀಟ ಬಾಧೆ),ಬ್ಯಾಕ್ಟ್ರೋಸೆರಾ (Bactrocera),ಹುಳು ಕಾಯಿಯೊಳಗೆ ಸೇರಿ ಕೊಳೆಯಿಸುತ್ತದೆ. ಕಾಯಿ ಬೀಳುತ್ತದೆ. ಇದು ದೊಡ್ಡ ಸಮಸ್ಯೆ. ಕಾಯಿ ಬಿಡುವಾಗ ಮೀಥೈಲ್ ಯುಜಿನಾಲ್ ಬಲೆ ಬಳಸಿ. ಬಿದ್ದ ಕಾಯಿಗಳನ್ನು ಆಳವಾಗಿ ಹೂತುಹಾಕಿ. ಕಾಯಿ ಬಲಿತ ಕೂಡಲೇ (ಹಣ್ಣಾಗುವ ಮುನ್ನ) ಕೊಯ್ಲು ಮಾಡಿ.
ಅಂಬಟೆಕಾಯಿ,ಆಂಥ್ರಾಕ್ನೋಸ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕೊಲೆಟೊಟ್ರೈಕಮ್ (Colletotrichum),ಕಾಯಿಯ ಮೇಲೆ ಕಪ್ಪು ತಗ್ಗು ಚುಕ್ಕೆ ಬಂದು ಕೊಳೆಯುತ್ತದೆ. ಗಾಳಿ ಆಡಲು ಕೊಂಬೆ ಕತ್ತರಿಸಿ. ಹೂವು ಬಿಡುವ ಮುನ್ನ ಮತ್ತು ಕಾಯಿ ಕಟ್ಟಿದ ನಂತರ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ. ಕೊಯ್ಲಿನ ನಂತರ ಹಣ್ಣನ್ನು 50 ಡಿಗ್ರಿ ಬಿಸಿ ನೀರಿನಲ್ಲಿ ತೊಳೆಯಿರಿ.
ಅಂಬಟೆಕಾಯಿ,ಮಸಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಗ್ಲೋಯೋಡೆಸ್ ಪೊಮಿಜೆನಾ (Gloeodes pomigena),ಕೀಟಗಳ ಸ್ರಾವದಿಂದ ಕಾಯಿ ಮತ್ತು ಎಲೆ ಮೇಲೆ ಕಪ್ಪು ಮಸಿ ಬರುತ್ತದೆ. ಹುರುಪೆ ಕೀಟಗಳನ್ನು (Scale insects) ಬೇವಿನ ಎಣ್ಣೆ ಬಳಸಿ ನಿಯಂತ್ರಿಸಿ. ಕೊಯ್ಲಿನ ನಂತರ ಕಾಯಿಯನ್ನು ಸಾಬೂನು ನೀರಿನಲ್ಲಿ ತೊಳೆದರೆ ಮಸಿ ಹೋಗುತ್ತದೆ.
ಅಂಬಟೆಕಾಯಿ,ಹಣ್ಣಿನ ಕ್ಯಾಂಕರ್  (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),ಕ್ಸಾಂಥೋಮೋನಾಸ್ (Xanthomonas),ಕಾಯಿಯ ಮೇಲೆ ಒರಟಾದ ಕಂದು ಬೊಕ್ಕೆಗಳು ಬರುತ್ತವೆ. ಒಣ ಹವೆಯಲ್ಲಿ ರೋಗ ಬಂದ ಕೊಂಬೆ ಕತ್ತರಿಸಿ. ಕಾಯಿ ಬೆಳೆಯುವಾಗ ಸ್ಟ್ರೆಪ್ಟೋಸೈಕ್ಲಿನ್ ಮತ್ತು ಕಾಪರ್ ಶಿಲೀಂಧ್ರನಾಶಕ ಬೆರೆಸಿ ಸಿಂಪಡಿಸಿ.
ಅಂಬಟೆಕಾಯಿ,ತೊಟ್ಟು ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಗ್ಲೋಮೆರೆಲ್ಲಾ (Glomerella),"ಕೊಯ್ಲಿನ ನಂತರ ತೊಟ್ಟಿನ ಭಾಗದಿಂದ ಕಾಯಿ ಕೊಳೆಯುತ್ತದೆ. ಕಾಯಿ ಎಳೆಯಬೇಡಿ, ತೊಟ್ಟು ಸಮೇತ ಕತ್ತರಿಸಿ. ಪೆಟ್ಟಾಗದಂತೆ ನೋಡಿಕೊಳ್ಳಿ. ತಂಪಾದ ಜಾಗದಲ್ಲಿ ಶೇಖರಿಸಿ."
ಅಂಬಟೆಕಾಯಿ,ಹುರುಪೆ ಕೀಟ / ಸ್ಕೇಲ್  (ಕೀಟ ಬಾಧೆ),ಕ್ವಾಡ್ರಾಸ್ಪಿಡಿಯೋಟಸ್ ಪರ್ನಿಸಿಯೋಸಸ್ (Quadraspidiotus perniciosus),ಕಾಯಿಯ ಮೇಲೆ ಸಣ್ಣ ಮೇಣದಂತಹ ಕೀಟವಿದ್ದು ರಸ ಹೀರುತ್ತದೆ. ಬಾಧೆ ಕಡಿಮೆಯಿದ್ದರೆ ಬ್ರಷ್ ನಿಂದ ಉಜ್ಜಿ ತೆಗೆಯಿರಿ. ಹೆಚ್ಚು ಬಾಧಿತ ಕೊಂಬೆ ಕತ್ತರಿಸಿ. ತೋಟಗಾರಿಕೆ ಎಣ್ಣೆ (Horticultural oil) ಸಿಂಪಡಿಸಿ.
ಅಂಬಟೆಕಾಯಿ,ಕಾಯಿ ಉದುರುವಿಕೆ  (ಸಮಸ್ಯೆ),ಫಿಸಿಯೋಲಾಜಿಕಲ್ ಡಿಸಾರ್ಡರ್ (Physiological disorder),ನೀರಿನ ಕೊರತೆ ಅಥವಾ ಪೋಷಕಾಂಶದ ಕೊರತೆಯಿಂದ ಎಳೆ ಕಾಯಿ ಉದುರುತ್ತದೆ. ತೇವಾಂಶ ಉಳಿಸಲು ಮಲ್ಚಿಂಗ್ ಮಾಡಿ. ಕಾಯಿ ಕಟ್ಟುವಾಗ ನೀರು ಕೊಡಿ. ಲಘು ಪೋಷಕಾಂಶವಿರುವ ಗೊಬ್ಬರ ಕೊಡಿ.
ಕೂವೆ ಗೆಡ್ಡೆ,ಎಲೆ ಅಂಗಮಾರಿ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕೊರಿನಿಯಮ್ (Coryneum),ಎಲೆಗಳ ಮೇಲೆ ದೊಡ್ಡ ಕಂದು ಮಚ್ಚೆ ಬಂದು ಹಳದಿ ಬಣ್ಣ ಆವರಿಸುತ್ತದೆ. ಎಲೆ ಒಣಗಿ ಇಳುವರಿ ಕುಸಿಯುತ್ತದೆ. ಸೋಂಕಿತ ಎಲೆ ಕತ್ತರಿಸಿ ಸುಟ್ಟುಹಾಕಿ. ಮಣ್ಣಿನಲ್ಲಿ ನೀರು ನಿಲ್ಲದಂತೆ ಮಾಡಿ. ಮಣ್ಣು ಎಲೆಗೆ ಸಿಡಿಯದಂತೆ ಮಲ್ಚಿಂಗ್ ಮಾಡಿ.
ಕೂವೆ ಗೆಡ್ಡೆ,ಮೃದು ಕೊಳೆತ  (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),ಎರ್ವಿನಿಯಾ ಕ್ಯಾರೊಟೊವೊರಾ (Erwinia carotovora),ಗೆಡ್ಡೆ ಮೆತ್ತಗಾಗಿ ನೀರಾಗಿ ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತದೆ. ಒದ್ದೆ ಮಣ್ಣಿನಲ್ಲಿ ಇದು ಹೆಚ್ಚು. ರೋಗ ಬಂದ ಗಿಡ ಕಿತ್ತು ನಾಶಪಡಿಸಿ. ಎತ್ತರದ ಮಡಿ ಮಾಡಿ ನೀರು ಬಸಿಯುವಂತೆ ನೋಡಿ. ಕೊಯ್ಲಿನ ನಂತರ ಗೆಡ್ಡೆಯನ್ನು ತೊಳೆದು ಚೆನ್ನಾಗಿ ಒಣಗಿಸಿ. ಗಾಯವಾದ ಗೆಡ್ಡೆ ಎಸೆಯಿರಿ.
