uid,created_at,updated_at,deleted_at,category_id,category_type,url,name_en,name_kn,name_hn,name_ta,name_te,name_ml,name_mr,name_gu,name_bn,name_or,name_pa,name_ur,name_ne
master_icons_ee6db7ff-63a2-4f2b-b5ef-c6c6794116ed,2026-01-14 12:20:48.145 +0530,,,crop_011,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/cucumber_crop.jpg,Cucumber,ಸೌತೆಕಾಯಿ,खीरा,வெள்ளரிக்காய்,దోసకాయ,വെള്ളരിക്ക,काकडी,કાકડી,শসা,କାକୁଡି,ਖੀਰਾ,کھیرا,काँक्रो
master_icons_489295de-44d1-4296-acdb-2369cac47924,2026-01-14 12:20:48.145 +0530,,,crop_012,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/drumstick_crop.jpg,Drumstick,ನುಗ್ಗೆಕಾಯಿ,सहजन,முருங்கைக்காய்,డ్రమ్ స్టిక్,മുരിങ്ങയില,ड्रमस्टिक,ડ્રમસ્ટિક,ঢোলের কাঠি,ଡ୍ରମଷ୍ଟିକ୍,ਢੋਲਕੀ,ڈرم اسٹک,ढोलकको स्टिक
master_icons_12f46ed1-954e-4cbf-8949-c778984397d9,2026-01-14 12:20:48.145 +0530,,,crop_013,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/garlic_crop.jpg,Garlic,ಬೆಳ್ಳುಳ್ಳಿ,लहसुन,பூண்டு,వెల్లుల్లి,വെളുത്തുള്ളി,लसूण,લસણ,রসুন,ରସୁଣ,ਲਸਣ,لہسن,लसुन
master_icons_21c1dff9-c722-4631-8c5c-daef899297c3,2026-01-14 12:20:48.145 +0530,,,crop_014,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/ginger_crop.jpg,Ginger,ಶುಂಠಿ,अदरक,இஞ்சி,అల్లం,ഇഞ്ചി,आले,આદુ,আদা,ଅଦା,ਅਦਰਕ,ادرک,अदुवा
master_icons_5816db35-4ebd-479c-bb82-332e65db133a,2026-01-14 12:20:48.145 +0530,,,crop_015,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/grapes_crop.jpg,Grapes,ದ್ರಾಕ್ಷಿ,अंगूर,திராட்சை,ద్రాక్ష,മുന്തിരി,द्राक्षे,દ્રાક્ષ,আঙ্গুর,ଅଙ୍ଗୁର,ਅੰਗੂਰ,انگور,अंगुर
master_icons_2f43a7c0-d37f-432a-a7fc-cec8f4a9f9a4,2026-01-14 12:20:48.145 +0530,,,crop_016,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/green_chilli_crop.jpg,Green_Chilli,ಹಸಿಮೆಣಸಿನಕಾಯಿ,हरी_मिर्च,பச்சை_மிளகாய்,ఆకుపచ్చ_మిరపకాయ,പച്ച_മുളക്,हिरवी_मिरची,લીલી_મરચાં,সবুজ_মরিচ,ସବୁଜ_ଲଙ୍କା,ਹਰੀ_ਮਿਰਚ,ہری_مرچ,हरियो_खुर्सानी
master_icons_d0a76d2b-1b19-4544-b648-8132503f9cfb,2026-01-14 12:20:48.145 +0530,,,crop_017,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/ladies_finger_crop.jpg,Ladies_Finger,ಬೆಂಡೆಕಾಯಿ,भिंडी,பெண்கள்_விரல்,లేడీస్_ఫింగర్,ലേഡീസ്_ഫിംഗർ,लेडीज_फिंगर,લેડીઝ_ફિંગર,লেডিস_ফিঙ্গার,ଲେଡିଜ୍_ଫିଙ୍ଗର୍,ਔਰਤਾਂ_ਉਂਗਲੀਆਂ,خواتین_انگلی,महिला_औँला
master_icons_64873fbe-5bac-4f07-b5c1-18af5fd45492,2026-01-14 12:20:48.145 +0530,,,crop_018,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/onion_crop.jpg,Onion,ಈರುಳ್ಳಿ,प्याज,வெங்காயம்,ఉల్లిపాయ,ഉള്ളി,कांदा,ડુંગળી,পেঁয়াজ,ପିଆଜ,ਪਿਆਜ,پیاز,प्याज
master_icons_9af35b29-2caa-4441-bb76-cdd0857b0b9b,2026-01-14 12:20:48.145 +0530,,,crop_019,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/orange_crop.jpg,Orange,ಕಿತ್ತಳೆ,संतरा,ஆரஞ்சு,నారింజ,ഓറഞ്ച്,ऑरेंज,નારંગી,কমলা,କମଳା,ਸੰਤਰਾ,کینو,सुन्तला
master_icons_64ab67aa-d03c-4348-9695-dd590056df51,2026-01-14 12:20:48.145 +0530,,,crop_020,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/paddy_crop.jpg,Paddy,ಭತ್ತ,धान,நெல்,వరి,നെല്ല്,भात,ડાંગર,ধান,ଧାନ,ਝੋਨਾ,دھان,धान
master_icons_9059615d-efc8-4472-9d95-1a1738cf3ba4,2026-01-14 12:20:48.145 +0530,,,crop_021,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/pepper_belly_crop.jpg,Pepper_Belly,ದಪ್ಪ_ಮೆಣಸಿನಕಾಯಿ,शिमला_मिर्च,மிளகு_தொப்பை,పెప్పర్_బెల్లీ,പെപ്പർ_ബെല്ലി,पेपर_बेली,પેપર_બેલી,পেপার_বেলি,ପେପର_ବେଲି,ਪੇਪਰ_ਬੇਲੀ,کالی مرچ_بیلی,पेपर_बेली
master_icons_49e542e6-f901-4b5c-ba25-30a63381e094,2026-01-14 12:20:48.145 +0530,,,crop_022,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/potato_crop.jpg,Potato,ಆಲೂಗಡ್ಡೆ,आलू,உருளைக்கிழங்கு,టమాటో,ഉരുളക്കിഴങ്ങ്,बटाटा,બટાકા,আলু,ଆଳୁ,ਆਲੂ,آلو,आलु
master_icons_14ae5e93-b73e-40d6-871b-5962ece73523,2026-01-14 12:20:48.145 +0530,,,crop_023,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/pumpkin_crop.jpg,Pumpkin,ಕುಂಬಳಕಾಯಿ,कद्दू,பூசணி,గుమ్మడికాయ,മത്തങ്ങ,भोपळा,કોળુ,কুমড়ো,କଖାରୁ,ਕੱਦੂ,پیٹھا کدو,फर्सी
master_icons_df470c10-28c2-4f7f-9d9e-26c8282df4c1,2026-01-14 12:20:48.145 +0530,,,crop_024,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/radish_crop.jpg,Radish,ಮೂಲಂಗಿ,मूली,முள்ளங்கி,ముల్లంగి,മുള്ളങ്കി,मुळा,મૂળા,মূলা,ମୂଳା,ਮੂਲੀ,مولی,मूला
master_icons_6d86bb0d-91bc-4eaf-a029-ab93f47bdec8,2026-01-14 12:20:48.145 +0530,,,crop_025,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/ragi_crop.jpg,Ragi,ರಾಗಿ,रागी,ராகி,రాగి,റാഗി,रागी,રાગી,রাগি,ରାଗି,ਰਾਗੀ,راگی,रागी
master_icons_86274f47-6d53-4a24-9833-25c6a480af35,2026-01-14 12:20:48.145 +0530,,,crop_026,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/rice_crop.jpg,Rice,ಅಕ್ಕಿ,चावल,அரிசி,వరి,അരി,तांदूळ,ચોખા,ধান,ଚାଉଳ,ਚੌਲ,چاول,चामल
master_icons_b0123585-9125-4b3f-9d33-042fef71bd7d,2026-01-14 12:20:48.145 +0530,,,crop_027,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/ridge_gourd_crop.jpg,Ridge_Gourd,ಹೀರೆಕಾಯಿ,तोरई,ரிட்ஜ்_கௌர்ட்,రిడ్జ్_గోర్డ్,റിഡ്ജ്_ഗോർഡ്,रिज_लौकी,રીજ_ગોર્ડ,রিজ_গর্ড,ରିଜ୍_ଗୁର୍ଡ,ਰਿਜ_ਲੌਕੀ,توری,रिज_लौकी
master_icons_73dfe48b-4630-4a8d-be90-f428fc8ef5e3,2026-01-14 12:20:48.145 +0530,,,crop_028,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/snake_gourd_crop.jpg,Snake_Gourd,ಪಡವಲಕಾಯಿ,चिचिंडा,பாம்பு_பூசணி,పాము_గుమ్మడికాయ,പാമ്പിന്റെ_കുരുമുളക്,साप_भोपळा,સાપ_લોહી,সাপ_লাউ,ସାପ_ଲାଉ,ਸੱਪ_ਲੌਕੀ,سانپ_لوکی,लौका_सर्प
master_icons_ee1dc1af-f4b8-41c6-b500-3a21cf40cd96,2026-01-14 12:20:48.145 +0530,,,crop_029,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/spinach_crop.jpg,Spinach,ಪಾಲಕ್,पालक,கீரை,పాలకూర,ചീര,पालक,પાલક,পালং শাক,ପାଳଙ୍ଗ,ਪਾਲਕ,پالک,पालुङ्गो
master_icons_d0ff1642-ad69-446c-a860-42c5cd0294c3,2026-01-14 12:20:48.145 +0530,,,crop_030,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/sponge_gourd_crop.jpg,Sponge_Gourd,ತುಪ್ಪದ_ಹೀರೆಕಾಯಿ,गिलकी,கடற்பாசி_பூசணி,స్పాంజ్_గోర్డ్,സ്പോഞ്ച്_ഗോർഡ്,स्पंज_लौकी,સ્પોન્જ_ગોર્ડ,স্পঞ্জ_গর্ড,ସ୍ପଞ୍ଜ_ଗୁର୍ଡ,ਸਪੰਜ_ਲੌਕੀ,توری,स्पन्ज_लौकी
master_icons_d03d6297-7ca8-4b37-b507-0169e141e27e,2026-01-14 12:20:48.145 +0530,,,crop_031,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/strawberry_crop.jpg,Strawberry,ಸ್ಟ್ರಾಬೆರಿ,स्ट्रॉबेरी,ஸ்ட்ராபெரி,స్ట్రాబెర్రీ,ഞാവൽപ്പഴം,स्ट्रॉबेरी,સ્ટ્રોબેરી,স্ট্রবেরি,ଷ୍ଟ୍ରବେରୀ,ਸਟ੍ਰਾਬੈਰੀ,اسٹرابیری,स्ट्रबेरी
master_icons_a9ace94e-8071-4b42-b6b6-3beb10372362,2026-01-14 12:20:48.145 +0530,,,crop_032,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/sugarcane_crop.jpg,Sugarcane,ಕಬ್ಬು,गन्ना,கரும்பு,చెరుకు,കരിമ്പ്,ऊस,શેરડી,আখ,ଆଖୁ,ਗੰਨਾ,گنے,उखु
master_icons_ca910399-5a79-4acb-99d1-80555c7176b4,2026-01-14 12:20:48.145 +0530,,,crop_033,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/tomato_crop.jpg,Tomato,ಟೊಮೆಟೊ,टमाटर,தக்காளி,టమాటో,തക്കാളി,टोमॅटो,ટામેટા,টমেটো,ଟମାଟୋ,ਟਮਾਟਰ,ٹماٹر,गोलभेडा
master_icons_7a0ed2c0-e296-4b29-b44f-08450bb54e57,2026-01-14 12:20:48.145 +0530,,,crop_034,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Ajwain.png,Ajwain,ಓಂ ಕಾಳು,अजवाइन,அஜ்வைன்,అజ్వైన్,അജ്‌വെയ്ൻ,ओवा,અજવાઈન,জোয়ান,ଆଜୱାଇନ୍,ਅਜਵਾਇਣ,اجوائن,अजवाइन
master_icons_1d58098a-c4af-49c0-8e8a-6e6ba9af6b87,2026-01-14 12:20:48.145 +0530,,,crop_035,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Alfalfa.png,Alfalfa,ಕುದುರೆ ಮಸಾಲೆ,रिजका,அல்ஃப்ல்ஃபா,అల్ఫాల్ఫా,അൽഫാൽഫ,अल्फाल्फा,આલ્ફલ્ફા,আলফালফা,ଆଲଫାଲଫା,ਅਲਫਾਲਫਾ,الفافہ,अल्फाल्फा
master_icons_e1cba85f-3f88-42df-84df-cbb523f98219,2026-01-14 12:20:48.145 +0530,,,crop_036,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Aloe_Vera.png,Aloe_Vera,ಲೋಳೆ ಸರ,एलोवेरा,கற்றாழை_வேரா,కలబంద_వేరా,അലോ_വേര,अ‍ॅलो_वेरा,એલો_વેરા,অ্যালো_ভেরা,ଆଲୋ_ଭେରା,ਐਲੋ_ਵੇਰਾ,ایلوویرا,एलो_भेरा
master_icons_640ebbd1-956f-44c6-9142-544e218bed5a,2026-01-14 12:20:48.145 +0530,,,crop_037,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Amaranthus.png,Amaranthus,ದಂಟಿನ ಸೊಪ್ಪು,चौलाई,அமராந்தஸ்,అమరాంథస్,അമരാന്തസ്,अमरान्थस,અમરન્થસ,আমরান্থাস,ଆମରାନ୍ଥସ୍,ਅਮਰੈਂਥਸ,امرانتس,अमरान्थस
master_icons_a7ec930d-6cca-4fb6-b4b8-8cd38e593059,2026-01-14 12:20:48.145 +0530,,,crop_038,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Arhar.jpg,Arhar,ತೊಗರಿ ಬೇಳೆ,अरहर,அர்ஹார்,అర్హార్,അർഹർ,अरहर,અરહર,আরহার,ଆରହାର,ਅਰਹਰ,ارہر,अरहर
master_icons_b9f55158-4e9d-43a8-8003-0de9c2ee3d96,2026-01-14 12:20:48.145 +0530,,,crop_039,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Arrowroot.png,Arrowroot,ಕೂವೆ ಗೆಡ್ಡೆ,अरारोट,ஆரோரூட்,యారోరూట్,ആരോറൂട്ട്,अ‍ॅरोरूट,એરોરૂટ,অ্যারোরুট,ଆରୋରୁଟ୍,ਐਰੋਰੂਟ,آرروٹ,एरोरूट
master_icons_78dd5349-c27c-40c0-ac13-136f130536d2,2026-01-14 12:20:48.145 +0530,,,crop_040,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Artichoke.jpg,Artichoke,ಆರ್ಟಿಚೋಕ್,हाथी चक,கூனைப்பூ,ఆర్టిచోక్,ആർട്ടികോക്ക്,आर्टिचोक,કાંટાળી ખાદ્ય વનસ્પતિ,আর্টিকোক,ଆର୍ଟିଚୋକ୍,ਆਂਟਿਚੋਕ,آرٹچیک,आर्टिचोक
master_icons_f9be8ede-0480-49b8-98d8-674e5403f7a4,2026-01-14 12:20:48.145 +0530,,,crop_041,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Ash_Gourd.png,Ash_Gourd,ಬೂದು ಕುಂಬಳಕಾಯಿ,पेठा,சாம்பல்_பூசணி,బూడిద_గుమ్మడికాయ,ആഷ്_ഗോർഡ്,राख_भोपळा,એશ_ગોર્ડ,অ্যাশ_গর্ড,ଆଶ୍_ଗୁର୍ଡ,ਐਸ਼_ਲੌਕੀ,راکھ_لوکی,लौका
master_icons_08a5aab3-a8cc-401e-8226-20bdc39f4a5f,2026-01-14 12:20:48.145 +0530,,,crop_042,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Asparagus.jpg,Asparagus,ಶತಾವರಿ,शतावरी,அஸ்பாரகஸ்,ఆస్పరాగస్,ശതാവരിച്ചെടി,शतावरी,શતાવરીનો છોડ,অ্যাসপারাগাস,ଅସପାରାଗସ୍,ਐਸਪੈਰਾਗਸ,مار چوب,शतावरी
master_icons_7d7a0837-3746-4586-bfe4-76f77a5a0258,2026-01-14 12:20:48.145 +0530,,,crop_043,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Bajra.jpg,Bajra,ಸಜ್ಜೆ,बाजरा,பஜ்ரா,బజ్రా,ബജ്‌റ,बाजरी,બાજરી,বাজরা,ବାଜରା,ਬਾਜਰਾ,باجرہ,बाजरा
master_icons_b261b6a9-f439-4e3f-a3bf-c8cf6ecaed54,2026-01-14 12:20:48.145 +0530,,,crop_044,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Banana.jpg,Banana,ಬಾಳೆಹಣ್ಣು,केला,வாழைப் பழம்,అరటి,വാഴപ്പഴം,केळी,કેળા,কলা,କଦଳୀ,ਕੇਲਾ,کیلا,केरा
master_icons_36d0a0e0-b4dd-406c-aa8c-d7656243be2e,2026-01-14 12:20:48.145 +0530,,,crop_045,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Beans.png,Beans,ಬೀನ್ಸ್,बीन्स,பீன்ஸ்,బీన్స్,പയർ,बीन्स,કઠોળ,মটরশুটি,ବିନ୍ସ,ਫਲ੍ਹਿਆਂ,پھلیاں,सिमी
master_icons_15054b7d-f674-41d7-a0d3-8232cdb74622,2026-01-14 12:20:48.145 +0530,,,crop_046,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Bengal_Gram.png,Bengal_Gram,ಕಡಲೆ ಕಾಳು,चना,வங்காளம்_கிராம்,బెంగాల్_గ్రామ్,ബംഗാൾ_ഗ്രാം,बंगाल_ग्राम,બંગાળ_ગ્રામ,বেঙ্গল_গ্রাম,ବେଙ୍ଗଲ_ଗ୍ରାମ,ਬੰਗਾਲ_ਗ੍ਰਾਮ,بنگال_گرام,बंगाल_ग्राम
master_icons_ea5e01fa-13e4-4fee-82f9-bdfaee99e610,2026-01-14 12:20:48.145 +0530,,,crop_047,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Black_Gram.png,Black_Gram,ಉದ್ದಿನ ಕಾಳು,उड़द,பிளாக்_கிராம்,బ్లాక్_గ్రామ్,ബ്ലാക്ക്_ഗ്രാം,काळा_ग्रॅम,કાળો_ગ્રામ,কালো_গ্রাম,କଳା_ଗ୍ରାମ,ਕਾਲਾ_ਗ੍ਰਾਮ,کالا_گرام,कालो_ग्राम
master_icons_cec7923a-fa06-4cb8-bc2a-7486e4adc4be,2026-01-14 12:20:48.145 +0530,,,crop_048,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Broccoli.jpg,Broccoli,ಬ್ರೊಕೋಲಿ,ब्रोकली,ப்ரோக்கோலி,బ్రోకలీ,ബ്രോക്കോളി,ब्रोकोली,બ્રોકોલી,ব্রকলি,ବ୍ରୋକୋଲି,ਬ੍ਰੋ CC ਓਲਿ,بروکولی,ब्रोकाउली
master_icons_926ea892-1ef0-4f82-b127-d2958aa6d2ed,2026-01-14 12:20:48.145 +0530,,,crop_049,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Cardamom.jpg,Cardamom,ಏಲಕ್ಕಿ,इलायची,ஏலக்காய்,ఏలకులు,ഏലം,वेलची,એલચી,এলাচ,କଞ୍ଚାଲଙ୍କା,ਇਲਾਇਚੀ,الائچی,अलैंची
master_icons_1f17b1f6-b312-4ede-af10-1821e4a7d9b0,2026-01-14 12:20:48.145 +0530,,,crop_050,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Castor.jpg,Castor,ಹರಳು,अरंडी,ஆமணக்கு,కాస్టర్,കാസ്റ്റർ,एरंडेल,એરંડા,ক্যাস্টর,କାଷ୍ଟର,ਕੈਸਟਰ,ارنڈ,क्यास्टर
master_icons_5aec05d4-6e20-4a63-80a4-d3ed7b547c9e,2026-01-14 12:20:48.145 +0530,,,crop_051,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Chilli.png,Chilli,ಮೆಣಸಿನಕಾಯಿ,मिर्च,மிளகாய்,మిరపకాయ,മുളക്,मिरची,મરચું,মরিচ,ଲଙ୍କା,ਮਿਰਚ,مرچ,खुर्सानी
master_icons_1b09dbd2-72ff-4978-a5d2-fa94788e8be3,2026-01-14 12:20:48.145 +0530,,,crop_052,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Coconut.png,Coconut,ತೆಂಗಿನಕಾಯಿ,नारियल,தேங்காய்,కొబ్బరి,നാളികേരം,नारळ,નાળિયેર,নারকেল,ନଡ଼ିଆ,ਨਾਰੀਅਲ,ناریل,नरिवल
master_icons_8590e977-f6ed-42b8-a767-642e6dc3a804,2026-01-14 12:20:48.145 +0530,,,crop_053,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Coffee.jpg,Coffee,ಕಾಫಿ,कॉफी,காபி,కాఫీ,കോഫി,कॉफी,કોફી,কফি,କଫି,ਕਾਫੀ,کافی,कफी
master_icons_c7b62e4b-aac0-4d51-8c5a-a51708089284,2026-01-14 12:20:48.145 +0530,,,crop_054,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Cumin.png,Cumin,ಜೀರಿಗೆ,जीरा,சீரகம்,జీలకర్ర,ജീരകം,जिरे,જીરું,জিরা,ଜିରା,ਜੀਰਾ,زیرہ,जीरा
master_icons_7cd55fd2-7414-4dea-837a-fff17333ffa8,2026-01-14 12:20:48.145 +0530,,,crop_055,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Dill.png,Dill,ಸಬ್ಬಸಿಗೆ ಸೊಪ್ಪು,सोवा,வெந்தயம்,మెంతులు,ഡിൽ,बडीशेप,સુવાદાણા,ডিল,ଡିଲ୍,ਡਿਲ,ڈل,डिल
master_icons_439be783-14a8-4d37-a7b6-de4da8199a44,2026-01-14 12:20:48.145 +0530,,,crop_056,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Elephant_Foot_Yam.jpeg,Elephant_Foot_Yam,ಸುವರ್ಣ ಗಡ್ಡೆ,जिमीकंद,யானை_கால்_யாம்,ఏనుగు_పాదం_యమ్,ആന_കാൽ_യാം,हत्ती_पाय_याम,હાથી_પગ_રતાલ,হাতির_পা_ইয়াম,ହାତୀ_ପାଦ_ଯାହ,ਹਾਥੀ_ਪੈਰ_ਰੌਲ,ہاتھی_پاؤں_یام,हात्तीको_खुट्टा_याम
master_icons_11cab073-a665-46e2-aff0-b5918bbd93bf,2026-01-14 12:20:48.145 +0530,,,crop_057,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Eucalyptus.jpg,Eucalyptus,ನೀಲಗಿರಿ,नीलगिरी,யூகலிப்டஸ்,యూకలిప్టస్,യൂക്കാലിപ്റ്റസ്,निलगिरी,નીલગિરી,ইউক্যালিপটাস,ନୀଳଗିରି,ਯੂਕਲਿਪਟਸ,یوکلپٹس,मसलाको रूख
master_icons_a827b748-79af-437a-9fe9-c4b87a0b4d39,2026-01-14 12:20:48.145 +0530,,,crop_058,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Fennel.jpeg,Fennel,ಸೋಂಪು,सौंफ,பெருஞ்சீரகம்,సోంపు,പെരുംജീരകം,एका जातीची बडीशेप,વરિયાળી,মৌরি,ପାନମହୁରୀ,ਸੌਂਫ,سونف,सौंफ
master_icons_0d1a6469-259e-4a01-85c6-ac0c0e4bafe5,2026-01-14 12:20:48.145 +0530,,,crop_059,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Fenugreek.jpeg,Fenugreek,ಮೆಂತ್ಯ,मेथी,வெந்தயம்,మెంతులు,ഉലുവ,मेथी,મેથી,মেথি,ମେଥି,ਮੇਥੀ,میتھی,मेथी
