Fruit Common Name ,Disease Name (Type),Treatment Methods
Apricot,Powdery Mildew,"White powdery patches appear on the young green fruit. As the fruit grows, these spots disappear but leave behind hard, rusty-brown, rough patches (russeting) on the skin. To prevent this roughness, spray Wettable Sulphur @ 2 grams per liter or Myclobutanil @ 0.5 ml per liter as soon as the petals fall. Keep the orchard weed-free to reduce humidity."
Apricot,Ring Pox (Viral Disease),"Dark, reddish-purple rings or irregular blotches appear on the fruit surface. The fruit becomes bumpy and deformed. The flesh inside may have dead, brown streaks. There is no chemical spray to cure this virus. The only solution is to remove the infected tree to save the others. Use only certified virus-free saplings when planting new trees."
Apricot,Rhizopus Rot (Soft Rot),"This rot hits the ripe fruit after harvest. The fruit turns very soft, watery, and develops a ""whiskery"" black mold. It enters through cuts and bruises. Handle apricots very gently; do not throw them into crates. Cool the fruit immediately after picking. Dip the fruit in a recommended post-harvest fungicide like Fludioxonil or simply maintain strict hygiene and cool storage temperatures."
Apricot,Earwig Damage,"These are insects, not a disease, but they cause damage that looks like rot. They hide in the clusters and chew holes in the ripening fruit, causing it to rot. Trap them by wrapping corrugated cardboard or damp newspaper around the tree trunk; the insects will hide there during the day, and you can remove and burn the traps. Keep the area around the tree trunk clean of weeds and debris."
Arecanut,Koleroga (Fruit Rot / Mahali),"This is the most dangerous disease during the monsoon. Dark water-soaked spots appear on the nut surface near the cap, and the nuts rot and fall in large numbers. To control this, cover the bunches with polythene covers (Kotte) before the rains start to keep them dry. Spray Bordeaux Mixture (1%) just before the monsoon begins. If rains are heavy, repeat the spray after 45 days. Collect and burn all fallen, rotting nuts to stop the fungus from spreading."
Arecanut,Inflorescence Dieback,"The flower stalks and young buttons start drying from the tip backwards, turning dark brown or black. This causes severe shedding of baby nuts. Prune off the dried, infected parts of the bunch and burn them. Spray Mancozeb @ 2 grams per liter or Chlorothalonil @ 2 grams per liter just after the female flowers open. Apply balanced fertilizers (Potash) to strengthen the tree against this drying."
Arecanut,Button Shedding,"Young nuts (buttons) fall off excessively without any obvious rot. This can be due to a lack of pollination or nutrients. Ensure your garden has proper drainage during the rainy season and irrigation during summer. Apply Borax @ 20 grams per tree mixed with soil. If shedding continues, spray NAA (Planofix) @ 1 ml in 5 liters of water on the opening bunches to help hold the nuts."
Arecanut,Nut Splitting,"The nuts crack open while still on the tree, spoiling the quality. This is usually not a disease but happens when a long dry spell is followed by sudden heavy rain or over-watering. To prevent this, maintain constant soil moisture by watering regularly in summer and using mulch (dry leaves) at the tree base. Spray Borax @ 2 grams per liter on the bunches when nuts are developing. Improve drainage to remove excess water quickly."
Arecanut,Pentatomid Bug (Tender Nut Drop),"A small bug punctures the tender nuts to suck sap. The nuts turn yellow, shrivel, and fall. If you look closely at fallen nuts, you will see tiny pin-prick holes. Spray Neem Oil @ 5 ml per liter or Dimethoate @ 1.5 ml per liter on the young bunches. Keep the plantation clean of weeds where these bugs hide."
Arecanut,Inflorescence Caterpillar,"You will see sticky webs and frass (waste) on the flower bunch. The caterpillar bores into the nuts and flower stalks, causing them to dry. Open the bunches manually to clean out the webs and worms. Spray Malathion @ 2 ml per liter or Quinalphos @ 1.5 ml per liter when you first see the webbing. Using light traps at night can help catch the moths before they lay eggs."
Arecanut,Sun Scorch (Golden Yellow Nuts),"The nuts exposed to the harsh afternoon sun (South-West side) turn golden yellow, develop cracks, and the kernel inside becomes black and hard. This is not a fungus but heat damage. Cover the exposed bunches with areca leaf sheaths or opaque polythene covers. Plant tall shade trees on the South-Western border of the garden to block the direct sun."
Banana,Anthracnose (Black Spot / Ripe Rot),"Handle the fruit bunches carefully during harvest and transport to avoid any bruises or cuts, as this is where the rot starts. Remove and destroy any decaying leaves or infected fruits from the plantation. After harvesting, dip the banana hands in a Carbendazim solution (1 gram per liter) or hot water (50°C) for 5 minutes before storing to prevent the black spots from developing."
Banana,Cigar End Rot (Burnt Tip),"Immediately after the fruits have formed, manually remove the dried flower parts (pistils) hanging at the tip of the banana fingers, as these attract the fungus. Cover the bunches with polyethylene sleeves (bunch covers) to protect them. If you see the infection starting, spray Copper Oxychloride @ 3 grams per liter or Mancozeb @ 2.5 grams per liter on the bunches."
Banana,Crown Rot (Stalk Rot),"Keep your harvesting knives and tools very clean and sharp. Cut the banana hands leaving a clear portion of the crown (stalk) attached. Immediately after cutting, dip the cut ends of the crown in a solution of Carbendazim @ 1 gram per liter or apply a mixture of Alum and water to the cut surface. Allow the surface to dry completely before packing to stop the rot from entering the stalk."
Banana,Fruit Rust / Scab (Thrips Damage),"This reddish-brown roughness on the skin is caused by tiny insects called thrips. Place blue sticky traps in the field to catch them. Cover the banana bunches with polythene bags as soon as the last hand opens to block the insects. If the attack is severe in the early stages, spray Imidacloprid @ 0.5 ml per liter or Dimethoate @ 2 ml per liter on the young bunches."
Banana,Bacterial Soft Rot / Finger Rot,"This rot often happens when fruits are damaged or sun-scorched. Maintain good shade in the garden and ensure proper drainage to avoid waterlogging. Remove and bury any rotting fruits far away from the field. When washing harvested bananas, use clean water mixed with a little chlorine (bleaching powder) to kill surface bacteria and dry the fruits well before packing."
Banana,Banana Scarring Beetle Damage,"Keep the plantation clean by removing weeds and grass where beetles hide. When the banana bunch starts forming, ensure the leaves do not touch the fruits, as beetles use leaves as bridges to reach the bunch. Bagging the bunches (covering with plastic) at the early shooting stage is the most effective method. You can also spray Chlorpyrifos @ 2.5 ml per liter on the young bunch once before bagging."
Banana,Moko Disease (Fruit Pulp Rot),"This bacterial disease causes the inside pulp to turn brown and dry even if the outside looks okay. Always use clean, sterilized tools for pruning and harvesting, as the bacteria spreads through knife blades. Remove the male flower bud (bell) using a forked stick instead of a knife to prevent infection. If a plant is infected, destroy the entire plant and do not replant banana there for at least 12 months."
Ber,Powdery Mildew,"A white, powdery coating covers the young fruits, which later turns brown and corky. The fruits stop growing, shrink, and fall off early. To control this, spray Wettable Sulphur @ 2 grams per liter or Dinocap @ 1 ml per liter as soon as you see flowers. Repeat the spray twice at 15-day intervals when the fruits are setting. Prune the tree properly to let sunlight in, as shade spreads this disease."
Ber,Fruit Rot (Alternaria/Phoma),"Small, light brown spots appear on the lower part of the fruit. These spots grow larger, turn dark brown or black, and the fruit pulp inside becomes soft and rotten. This happens mostly in humid weather. Collect and bury all fallen, rotting fruits to keep the orchard clean. Spray Mancozeb @ 2 grams per liter or Zineb @ 2 grams per liter when the fruits are developing (pea stage) to protect them."
Ber,Fruit Borer (Worm),"This is the biggest problem for Ber. A small caterpillar enters the fruit and eats the seed, filling the inside with black waste. The fruit turns reddish-brown and falls. Collect and burn every single fallen fruit because the worm is hiding inside the soil or fruit. Dig the soil around the tree in summer to kill sleeping pests. Spray Carbaryl @ 2 grams per liter or Spinosad @ 0.3 ml per liter when fruits are small (pea-sized). Do not spray when fruits are ready for harvest."
Ber,Sooty Mold (Black Coating),"A black, velvet-like layer covers the fruit skin, making it look dirty and fetching a low price. This happens because of sticky waste from insects like mealybugs and scale insects. First, kill the insects by spraying Dimethoate @ 1.7 ml per liter. Then, spray a Starch solution (2%) or spray plain water with high pressure to wash off the black mold. The mold will flake off once the insects are gone."
Ber,Fruit Cracking,"The fruit skin splits open, usually near the harvest time. This happens if you water the trees heavily after a long dry period. It is not a germ but a water management issue. Maintain regular moisture in the soil by watering frequently in small amounts rather than flooding once a month. Spray Borax @ 3 grams per liter when fruits are developing to make the skin elastic and strong."
Ber,Rust (Fruit Infection),"While rust usually attacks leaves, in severe cases, small reddish-brown pustules appear on the fruit skin, spoiling its look. The leaves will also look rusty and fall. Spray Wettable Sulphur @ 2 grams per liter or Mancozeb @ 2 grams per liter. Since this disease survives on old leaves, sweep and burn the fallen leaves from the orchard floor during winter pruning."
Cashew,Tea Mosquito Bug (Gida Heenu / TMB),"This is the most damaging cashew pest in India. It sucks juice from apples and nuts, causing black scabs and shriveled nuts. Start spraying early at flowering using Thiamethoxam or Lambda-cyhalothrin. Repeat after 15 days if needed. Remove badly damaged fruits. Avoid excess urea, as soft growth attracts bugs. Early control protects both apple quality and nut yield."
Cashew,Anthracnose (Kole Roga / Blossom & Fruit Blight),"Common during rainy and cloudy weather. Black sunken spots appear on apple and nut, leading to early fruit drop. Collect and destroy infected fruits regularly. Prune overcrowded branches for airflow. Spray Carbendazim or Mancozeb @ 2 g per liter during flowering and early fruit stage. Clean orchard and timely spraying greatly reduce yield loss."
Cashew,Cashew Apple Rot (Kolu Roga / Fruit Rot),"Apples become soft, watery, and may show white or pink fungal growth, especially during heavy rains. Improve drainage and avoid water stagnation. Remove rotten apples immediately from the field. Spray Copper Oxychloride or Mancozeb @ 2 g per liter. Harvest fruits on time and never allow ripe apples to remain on wet soil."
Cashew,Nut Borer (Kayi Koreyuva Hulu),"The insect makes small holes in the nut and feeds inside, leaving black waste outside. Collect fallen and damaged nuts daily and destroy them. Spray Emamectin benzoate or Lambda-cyhalothrin at early nut formation stage. Keep orchard clean and avoid leaving nuts on the ground, as this increases pest multiplication."
Cashew,Nut Sealing / Black Mold (Aspergillus / Penicillium),"Mainly occurs after fruit fall and during drying. Inside the nut, black powdery fungus develops due to moisture. Collect nuts daily and dry them properly under sunlight. Never dry nuts on wet soil. Store only fully dried nuts in clean, dry, well-ventilated rooms. Proper drying is the cheapest and most effective control."
Cashew,Cercospora Fruit Spot (Chukke Roga),"Small brown spots appear on cashew apples, making them hard and unmarketable. Disease spreads under humid conditions. Avoid dense planting and ensure good sunlight inside canopy. Remove infected apples. Spray Carbendazim or Propiconazole @ 1 g per liter at early stage. Balanced fertilizer and good air circulation reduce disease severity."
Cashew,Phoma Fruit Blight (Dry Rot),"Apples and nuts develop hard, dry, black patches and stop growing. Common in humid regions. Remove infected fruits and prune dense branches. Spray Carbendazim @ 1 g per liter or Mancozeb @ 2 g per liter during flowering and early fruit stage. Maintain orchard hygiene and avoid excess moisture to prevent recurrence."
Cashew,Inflorescence Die-back,"Entire flower and fruit bunch dries before fruits develop properly. Avoid moisture stress during flowering. Remove dried bunches and destroy them. Spray Copper Oxychloride @ 2 g per liter at early flowering. Balanced nutrition, timely irrigation, and avoiding excess nitrogen help plants recover and support healthy fruit setting."
Cashew,Pink Mold Rot (Trichothecium Rot),"Cashew apples develop soft rot with a clear pink powdery fungal layer, especially during wet weather. Remove infected apples immediately. Improve drainage and avoid late-evening irrigation. Spray Mancozeb or Carbendazim @ 2 g per liter. Harvest fruits on time and keep apples off wet ground to stop spread."
Cashew,Grey Mold (Botrytis Fruit Rot),"Grey fuzzy mold appears on ripe apples during cool, humid weather. Harvest fruits on time and remove rotten ones. Avoid overhead irrigation late in the day. Spray Carbendazim or Hexaconazole @ 1 g per liter. Good sunlight, airflow, and orchard cleanliness reduce disease naturally."
Cashew,Sunscald (Heat Injury – Not a Disease),White or bleached patches appear on apples due to strong sunlight. Maintain good leaf cover and avoid heavy pruning. Use mulching and proper irrigation to reduce heat stress. Balanced fertilizer helps maintain healthy canopy. Shade and moisture management are the best solutions.
Cashew,Secondary Rots (After Bird / Insect Damage),"Fungal rots enter through cracks, bird pecks, or insect wounds. Use bird nets if needed. Handle fruits carefully during harvest. Remove damaged fruits quickly. Dry and store nuts properly. Hot-water dipping of fruits (48–50°C for 2–3 minutes) helps reduce post-harvest rot."
Cashew ,Powdery Mildew,"A white, powdery fungus covers the young cashew apples and nuts. The skin turns rough and corky, and the apple may split open or fall early. This happens mostly in cloudy weather. Dust the trees with Sulphur dust (20 kg per hectare) or spray Wettable Sulphur @ 2 grams per liter during the flowering stage. Pruning the trees to let sunlight in helps kill the fungus naturally."
Cashew ,Dieback (Inflorescence Blight),"The flower stalks and young apples start drying from the tip downwards, turning brown or black. This often happens alongside the Tea Mosquito Bug attack. Prune the dried, dead branches and burn them. Spray Copper Oxychloride @ 3 grams per liter or Carbendazim @ 1 gram per liter to stop the rot from moving down to the healthy apples."
Cashew ,Gummosis (Fruit Gumming),"A sticky, amber-colored gum oozes out from the cashew apple or nut surface. The apple becomes deformed and poor in quality. This is often due to fungal infection entering through insect wounds. Improve drainage in the orchard. Scrape off the gum and apply Bordeaux paste on the trunk/branches. Spray Copper Oxychloride @ 3 grams per liter to protect the developing fruits."
Coconut,Mahali (Fruit Rot / Nut Fall),"This fungal disease causes young buttons and immature nuts to fall off in large numbers, especially during the monsoon. You will see dark green lesions near the stalk (calyx) of the fallen nut. To control it, clean the crown of the tree before the rains start. Spray 1% Bordeaux Mixture on the bunches and leaves. If the rain is heavy, repeat the spray after 45 days. Apply Bordeaux paste to the crown to stop the rot from entering."
Coconut,Eriophyid Mite Damage,"This is a major problem where triangular, pale yellow patches appear on the young nuts near the stalk. As the nut grows, these turn into brown, rough, wart-like patches with deep cracks. The nuts remain small and deformed. To treat this, mix 10 ml of Azadirachtin (1% formulation) with 10 ml of water and feed it to the tree through a root (Root Feeding). Alternatively, spray Neem Oil @ 20 ml per liter or Palm Oil + Sulphur mixture on the bunches 3 times a year. Apply proper fertilizer (Potash) to make the tree strong."
Coconut,Button Shedding,"Tiny baby coconuts (buttons) fall off in large numbers before growing. This is often due to a lack of water, nutrients, or poor pollination. Ensure regular irrigation during summer; do not let the soil dry out. Apply 500 grams of Potash and 200 grams of Borax per tree per year. If shedding continues, spray NAA (Planofix) @ 2 ml in 10 liters of water on the flower bunches 30 days after the flower opens."
Coconut,Coreid Bug Damage,"A bug punctures the tender buttons and young nuts to suck sap. This causes sticky gum to ooze out from the nut. The nuts become deformed, crinkled, and smaller in size. Many buttons fall off. Collect and burn fallen, immature nuts. Spray Carbaryl @ 2 grams per liter or Azadirachtin (Neem) @ 5 ml per liter on the young bunches. Keep the garden clean to reduce hiding spots for the bugs."
Coconut,Root (Wilt) Disease (Quality Loss),"While this is a whole-tree disease, it severely affects the fruit. The nuts become smaller, the shell becomes thinner, and the kernel (copra) does not harden properly and tastes bland. There is no cure, but you can manage it. Remove severely infected trees that yield less than 10 nuts/year. For other trees, apply balanced organic manure (50 kg) and Magnesium Sulphate (500g) per year to improve nut quality. Grow intercrops like cocoa or banana to improve soil health."
Coconut,Barren Nuts (Empty Nuts),"The nut grows to full size, but when you open it, there is no kernel or water inside; it is empty or cracked. This happens due to poor pollination or Potash deficiency. Ensure there are bee colonies nearby for pollination. Apply extra Potash (Muriate of Potash) @ 2 kg per tree per year along with common salt (1 kg). Regular watering during the nut development stage prevents this."
Coconut,Thanjavur Wilt (Ganoderma),"The lower leaves droop and fall, and the tree sheds all its buttons and immature nuts. The trunk may bleed a rusty liquid. This is a root rot fungus. Dig a trench around the infected tree to stop roots from touching healthy trees. Apply 5 kg of Neem Cake mixed with Trichoderma (bio-fungicide) to the soil every year. Drench the soil around the tree with 40 liters of Bordeaux Mixture (1%)."
Coconut,Crown Choke,"The tip of the nut becomes constricted or choked, leading to deformation. This is usually caused by Boron deficiency. Apply Borax @ 200 grams per tree per year in the soil ring. Ensure the soil moisture is maintained, as dry soil prevents the tree from absorbing Boron."
Cotton,Bacterial Blight (Boll Rot Phase),"This disease is caused by bacteria, so normal fungicides alone are not enough. Mix Streptocycline 2 g + Copper Oxychloride 500 g in 200 liters of water per acre and spray uniformly. Repeat spraying every 15 days if black spots continue. Avoid overhead irrigation and remove badly infected bolls to stop the disease from spreading further."
Cotton,Anthracnose (Red Rot),"This fungal disease spreads fast in moist weather. Keep proper spacing between plants so sunlight dries the bolls quickly. At the first sign of red or brown spots, spray Carbendazim 0.1% or Mancozeb 0.25%. Do 3 sprays at 15-day intervals during boll formation. Avoid excess irrigation and remove infected bolls from the field."
Cotton,Fungal Boll Rot (Diplodia / Grey Mildew),"This rot usually enters through insect damage. First, control bollworms properly. Do not allow the crop to grow too dense. During continuous rains, spray Copper Oxychloride 0.3% or Mancozeb 0.2% on developing bolls. Ensure good drainage in the field. Removing infected bolls early helps reduce further spread of the fungus."
Cotton,Internal Boll Rot (Stigmatomycosis),"Once this disease enters the boll, it cannot be cured. Prevention is the only solution. Control cotton stainers and green bugs using recommended insecticides like Imidacloprid. Keep the field and bunds free from weeds where insects hide. Use traps if available. Healthy, insect-free crops greatly reduce the chance of internal boll rot."
Cotton,Tirak (Bad Opening),"This problem occurs due to lack of nutrients or water stress. Apply extra nitrogen fertilizer during flowering stage. If soil is sandy, provide regular irrigation during September–October so bolls develop properly. Avoid moisture stress at boll development stage. Balanced fertilization and timely watering help bolls open normally with good quality cotton."
Cotton,Alternaria Boll Spot,"Strong plants resist this disease better. Apply sufficient Potash and Magnesium fertilizers. At early signs of brown or black spots, spray Propiconazole 0.1% or Mancozeb + Carbendazim mixture. Remove and burn infected leaves and fallen bolls. Avoid continuous cotton cropping and maintain clean field conditions to prevent recurrence."
Cotton,Tobacco Streak Virus (Cotton Necrosis),"This is a viral disease and cannot be cured. Control the Thrips insects that spread it. Treat seeds with Imidacloprid 7 g/kg before sowing. If thrips appear, spray Thiamethoxam or Dimethoate. Remove weeds like Parthenium from the field and borders, as they act as virus sources."
Cotton,Ascochyta Blight (Wet Weather Blight),"This disease appears during long wet and cloudy conditions. Improve field drainage to avoid water stagnation. If wet weather continues, spray Copper Oxychloride 0.3% or Zineb. Remove infected bolls if possible. Crop rotation with cereals like maize next season helps clean the soil and reduces disease carry-over."
Cotton,Myrothecium Spot (Ring Spot Disease),"Collect and burn infected bolls and leaves immediately. Spray Carbendazim 1 g/liter or Mancozeb 2.5 g/liter for good control. Since the fungus often enters through insect wounds, maintain proper insect control. Avoid working in wet fields, as wounds made during wet conditions increase disease spread."
Cotton,Diplodia Boll Rot (Black Smut Rot),"Carefully remove black, sooty bolls and destroy them to stop spore spread. Avoid injuring plants during weeding or interculture. Spray Copper Oxychloride as a preventive measure, especially after rain. Maintain good field hygiene and insect control, as this disease mainly attacks already damaged bolls."
Cotton,Rhizopus Rot (Soft Watery Rot),"There is no chemical cure once the boll becomes soft and watery. Harvest cotton as soon as bolls open and do not delay picking. Control bollworms properly because the fungus enters through insect holes. Avoid storing harvested cotton in hot, humid conditions to prevent further rotting during storage or transport."
Custard Apple,Anthracnose (Fruit Rot),"This disease causes round, black, sunken spots on the fruit, which may eventually turn the whole fruit black and hard. To control it, keep the orchard clean by removing and burning all falling or infected fruits. Spray Carbendazim @ 1 gram per liter or Mancozeb @ 2 grams per liter when the fruits are small. After harvest, handle fruits gently to avoid injuries that allow the rot to start."
Custard Apple,Diplodia Rot (Black Fruit Rot),"The fruit turns completely black, becomes hard like a stone, and dries up (mummifies) on the tree. This usually happens to fruits that are already injured. Prune dead twigs and remove any dried ""mummy"" fruits hanging on the tree. Spray Copper Oxychloride @ 3 grams per liter during fruit development. Ensure you harvest carefully without pulling the fruit stem roughly."
Custard Apple,Black Canker / Fruit Canker,"Rusty or black irregular spots appear on the fruit skin, making it look rough and reducing its market value. Prune the canopy to allow sunlight to reach the fruits. Spray Copper Oxychloride @ 3 grams per liter or Bordeaux Mixture (1%) just after fruit set. Repeat the spray after 20 days if the weather is humid to protect the developing skin."
Custard Apple,Mealybug Damage (White Patch),"While this is a pest, it causes a disease-like condition where white cottony masses cover the fruit, often leading to a sticky black mold (Sooty Mold). Keep the orchard free of weeds like Parthenium where these bugs hide. Destroy ant nests near the trees as ants protect mealybugs. Spray Neem Oil @ 5 ml per liter or Profenofos @ 2 ml per liter. Washing harvested fruits with water usually removes the white fuzz."
Custard Apple,Fruit Borer (Caterpillar),"The caterpillar bores into the fruit, creating holes and filling them with waste, which causes the fruit to rot and smell bad. Collect and destroy any fruits with holes immediately. Spray Neem Oil @ 5 ml per liter or Spinosad @ 0.3 ml per liter when fruits are young (marble-sized). Bagging the fruits with cloth or paper bags when they are small is the best chemical-free way to stop this."
Custard Apple,Alternaria Fruit Spot,"Small, dark brown to black spots appear on the fruit surface, specifically during the rainy season. Remove weeds and keep the base of the tree clean to reduce humidity. Spray Mancozeb @ 2.5 grams per liter or Chlorothalonil @ 2 grams per liter during the fruit growth stage. Ensure proper spacing between trees so air can flow freely and dry the fruits quickly after rain."
Custard Apple,Stone Fruit (Mummification),"Sometimes fruits stop growing, become very hard (stone-like), and turn brown. This can be due to irregular watering or fungal attack. Maintain constant soil moisture by watering regularly and using mulch (dry grass) around the tree base. Spraying a general fungicide like Copper Oxychloride @ 3 grams per liter helps if the cause is fungal."
Date Palm,Inflorescence Rot (Khamedj),"This disease attacks the flower bunches before they open. The spathe (cover) develops rusty-brown spots, and the flowers inside rot and turn black. To save the crop, collect and burn all infected spathes immediately. Spray the tree with Bordeaux mixture (1%) or Copper Oxychloride @ 3 grams per liter just before the spathes emerge in early spring. Dusting the flower clusters with a mixture of Sulphur and Copper fungicide is also effective."
Date Palm,Fruit Rot (Spoilage / Souring),"In humid weather or after rain, the fruits turn soft, smell sour like vinegar, and fall off. This is caused by yeast and fungi. To prevent this, cover the bunches with paper bags or wire mesh rings to allow air circulation. Avoid over-crowding the fruits; thin them out so they don't touch each other. Spray a safe fungicide like Mancozeb @ 2 grams per liter only if heavy rains occur during the ripening stage."
Date Palm,Black Scorch (Medjnoon),The fruit stalks and young fruits turn black and look like they have been burned by charcoal. The fruit dries up and hardens. Prune and burn all infected leaves and fruit stalks. Apply Copper Oxychloride paste on the cut wounds. Spray the heart of the palm and bunches with Copper Oxychloride @ 3 grams per liter or Thiophanate Methyl @ 1 gram per liter to kill the fungus.
Date Palm,Blacknose (Physiological),"The tip of the fruit turns dark (blackish) and dries out, while the rest of the fruit remains normal. This is not a fungus but happens due to humidity changes. Avoid heavy thinning of the bunch too early. Place wire rings inside the bunch to separate the strands and improve airflow. Ensure regular irrigation so the tree does not face water stress."
Date Palm,Checking (Fruit Cracking),"Small, horizontal cracks appear on the fruit skin, usually near the tip. This happens when high humidity or rain occurs just before harvest. Cover the bunches with water-resistant paper bags or plastic hoods during the ripening phase to keep them dry. Do not water the trees heavily just before the harvest."
Date Palm,Lesser Date Moth,"A small worm bores into the young fruit near the calyx (cap), eating the seed and causing the fruit to turn red-brown and fall. You will see silk webbing connecting the fruits. Collect and destroy all fallen fruits. Spray Bacillus thuringiensis (Bt) @ 1 gram per liter or Spinosad @ 0.3 ml per liter when the fruits are small. Bagging the bunches early with fine mesh nets prevents the moth from laying eggs."
