Fruit Common Name ,Disease Name (Type),Treatment Methods,Scientific name
ನೆಲ್ಲಿಕಾಯಿ,ಒಳ ಕೊಳೆತ / ಬ್ರೌನಿಂಗ್  (ಪೋಷಕಾಂಶದ ಸಮಸ್ಯೆ),"ಇದು ಸಾಮಾನ್ಯವಾಗಿ ಕೊಯ್ಲಿನ ನಂತರ ಅಥವಾ ಹಣ್ಣಿಗೆ ಗಾಯವಾದಾಗ ಬರುತ್ತದೆ. ಹಣ್ಣು ಮೆತ್ತಗಾಗಿ, ಕಂದು ಬಣ್ಣಕ್ಕೆ ತಿರುಗಿ ನೀರಾಗುತ್ತದೆ ಮತ್ತು ನೀಲಿ ಬೂಷ್ಟು ಕಾಣಬಹುದು. ಕೊಯ್ಲು ಮಾಡುವಾಗ ಹಣ್ಣಿಗೆ ಪೆಟ್ಟಾಗದಂತೆ ಎಚ್ಚರವಹಿಸಿ. ಸಂಗ್ರಹಣೆಯಲ್ಲಿ ಕೊಳೆಯುವುದನ್ನು ತಪ್ಪಿಸಲು, ಕೊಯ್ಲು ಮಾಡಿದ ಹಣ್ಣುಗಳನ್ನು ಉಪ್ಪುನೀರು ಅಥವಾ 1 ಲೀಟರ್ ನೀರಿಗೆ 1 ಗ್ರಾಂ ಬೊರಾಕ್ಸ್ ಬೆರೆಸಿದ ದ್ರಾವಣದಲ್ಲಿ ಅದ್ದಿ ಸ್ವಚ್ಛಗೊಳಿಸಿ.",ದೈಹಿಕ ಅಸ್ವಸ್ಥತೆ (ಹೆಚ್ಚಿನ ತಾಪಮಾನ / ಬೋರಾನ್ ಕೊರತೆ)
ನೆಲ್ಲಿಕಾಯಿ,ಮೃದು ಕೊಳೆ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),"ಸಣ್ಣ ಹುಳು ಹಣ್ಣಿನ ಒಳಗೆ ರಂಧ್ರ ಮಾಡಿ ಬೀಜವನ್ನು ತಿನ್ನುತ್ತದೆ, ಇದರಿಂದ ಹಣ್ಣು ಕೊಳೆತು ಉದುರುತ್ತದೆ. ಬಿದ್ದಿರುವ ಎಲ್ಲಾ ಹಣ್ಣುಗಳನ್ನು ಸಂಗ್ರಹಿಸಿ ನಾಶಪಡಿಸಿ. ಕಾಯಿಗಳು ಬೆಳೆಯಲು ಶುರುವಾದಾಗ 1 ಲೀಟರ್ ನೀರಿಗೆ 2 ಗ್ರಾಂ ಕಾರ್ಬರಿಲ್ ಅಥವಾ 2 ಮಿ.ಲೀ ಕ್ವಿನಾಲ್ಫಾಸ್ ಸಿಂಪಡಿಸಿ. ಪತಂಗಗಳನ್ನು ಹಿಡಿಯಲು ಬೆಳಕಿನ ಬಲೆಗಳನ್ನು ಕೂಡ ಬಳಸಬಹುದು.",ರೈಜೋಪಸ್ ಅರಿಜಸ್
ನೆಲ್ಲಿಕಾಯಿ,ಹಣ್ಣು ಕೊರೆಯುವ ಹುಳು  (ಕೀಟ ಬಾಧೆ),"ಹಣ್ಣಿನ ಮೇಲೆ ಕಂದು ಬಣ್ಣದ ತಗ್ಗು ಚುಕ್ಕೆಗಳು ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತವೆ, ತೇವಾಂಶ ಹೆಚ್ಚಿದ್ದರೆ ಇವು ಒಂದಾಗಿ ದೊಡ್ಡದಾಗಿ ಕೊಳೆಯುತ್ತವೆ. ಹಣ್ಣುಗಳಿಗೆ ಬಿಸಿಲು ಬೀಳಲು ಗಿಡವನ್ನು ಕತ್ತರಿಸಿ (ಪ್ರೂನಿಂಗ್). ಕಾಯಿ ಕಚ್ಚುವ ಹಂತದಲ್ಲಿ 1 ಲೀಟರ್ ನೀರಿಗೆ 1 ಗ್ರಾಂ ಕಾರ್ಬೆಂಡಾಜಿಮ್ ಅಥವಾ 3 ಗ್ರಾಂ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ. ಬಿದ್ದ ಎಲೆಗಳನ್ನು ತೆಗೆದು ತೋಟವನ್ನು ಸ್ವಚ್ಛವಾಗಿಡಿ.",ಅನಾರ್ಸಿಯಾ ಲಿನಿಯಾಟೆಲ್ಲಾ
ನೆಲ್ಲಿಕಾಯಿ,ಆಂಥ್ರಾಕ್ನೋಸ್ / ಹಣ್ಣು ಮಚ್ಚೆ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಹಣ್ಣಿನ ಮೇಲೆ ಕಡು ಕಂದು ಅಥವಾ ಕಪ್ಪು ಚುಕ್ಕೆಗಳು ಬಂದು ಗಟ್ಟಿಯಾಗಿ ಒಣಗುತ್ತವೆ ಮತ್ತು ಸಿಪ್ಪೆ ಸುಕ್ಕಾಗುತ್ತದೆ. ಮರ ದುರ್ಬಲವಾಗಿದ್ದರೆ ಇದು ಹೆಚ್ಚು. ಮರಕ್ಕೆ ಸಾಕಷ್ಟು ನೀರು ಮತ್ತು ಗೊಬ್ಬರ ನೀಡಿ. ಎಳೆಯ ಕಾಯಿಗಳ ಮೇಲೆ ಚುಕ್ಕೆ ಕಂಡರೆ 1 ಲೀಟರ್ ನೀರಿಗೆ 2 ಗ್ರಾಂ ಮ್ಯಾಂಕೋಜೆಬ್ ಅಥವಾ ಕ್ಲೋರೋಥಲೋನಿಲ್ ಸಿಂಪಡಿಸಿ.,ಕೊಲೆಟೊಟ್ರೈಕಮ್ ಗ್ಲಿಯೋಸ್ಪೊರಿಯಾಯ್ಡ್ಸ್
ಏಪ್ರಿಕಾಟ್,ಒಣ ಕೊಳೆ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಹಣ್ಣು ಮೆತ್ತಗಾಗಿ ಕಂದು ಬಣ್ಣಕ್ಕೆ ತಿರುಗುತ್ತದೆ ಮತ್ತು ಬೂದು ಬಣ್ಣದ ಬೂಷ್ಟು ಆವರಿಸುತ್ತದೆ. ಹಣ್ಣು ಸಂಪೂರ್ಣವಾಗಿ ಕೊಳೆತು ಒಣಗಿ ಗಿಡದಲ್ಲೇ ಉಳಿಯಬಹುದು (ಮಮ್ಮಿ). ಚಳಿಗಾಲದಲ್ಲಿ ಗಿಡದಲ್ಲಿ ಉಳಿದ ಒಣ ಹಣ್ಣುಗಳನ್ನು ಕಿತ್ತು ಸುಟ್ಟುಹಾಕಿ. ಹೂವು ಅರಳುವಾಗ ಮತ್ತು ಕೊಯ್ಲಿಗೆ 2 ವಾರ ಮುಂಚೆ 1 ಲೀಟರ್ ನೀರಿಗೆ 2 ಗ್ರಾಂ ಕ್ಯಾಪ್ಟಾನ್ ಅಥವಾ 1 ಮಿ.ಲೀ ಟೆಬುಕ್ಯಾನಜೋಲ್ ಸಿಂಪಡಿಸಿ.,ಆಲ್ಟರ್ನೇರಿಯಾ ಆಲ್ಟರ್ನೇಟಾ
ಏಪ್ರಿಕಾಟ್,ಕಂದು ಕೊಳೆ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಹಣ್ಣಿನ ಮೇಲೆ ಸಣ್ಣ ನೇರಳೆ-ಕೆಂಪು ಚುಕ್ಕೆಗಳು ಕಾಣಿಸಿಕೊಂಡು ನಂತರ ಗಾಯದ ಕಲೆಗಳಂತೆ ಆಗುತ್ತವೆ. ಚಳಿಗಾಲದಲ್ಲಿ ಒಣಗಿದ ಮತ್ತು ರೋಗಪೀಡಿತ ಕೊಂಬೆಗಳನ್ನು ಕತ್ತರಿಸಿ. ವಸಂತಕಾಲದಲ್ಲಿ ಮೊಗ್ಗು ಬರುವ ಮುನ್ನ ಮತ್ತು ಹೂವಿನ ದಳ ಉದುರಿದ ನಂತರ 1 ಲೀಟರ್ ನೀರಿಗೆ 3 ಗ್ರಾಂ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಅಥವಾ ಶೇ.1 ರ ಬೋರ್ಡೋ ದ್ರಾವಣ ಸಿಂಪಡಿಸಿ.,ಮೊನಿಲಿನಿ ಲ್ಯಾಕ್ಸಾ
ಏಪ್ರಿಕಾಟ್,ಚುಕ್ಕೆ ರೋಗ / ಶಾಟ್ ಹೋಲ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),"ಹಣ್ಣಿನ ಸಿಪ್ಪೆಯ ಮೇಲೆ ಆಲಿವ್ ಹಸಿರು ಅಥವಾ ಕಪ್ಪು ಚುಕ್ಕೆಗಳು ಕಾಣುತ್ತವೆ, ಇದು ಹಣ್ಣಿನ ಅಂದ ಕೆಡಿಸುತ್ತದೆ. ನೆರಳು ಮತ್ತು ತೇವಾಂಶವಿದ್ದರೆ ಇದು ಹೆಚ್ಚು. ಗಿಡದ ಮಧ್ಯಭಾಗಕ್ಕೆ ಬಿಸಿಲು ಬೀಳಲು ಕೊಂಬೆಗಳನ್ನು ಕತ್ತರಿಸಿ. ಹೂವಿನ ಕವಚ ಉದುರಿದಾಗ 1 ಲೀಟರ್ ನೀರಿಗೆ 2 ಗ್ರಾಂ ಕರಗುವ ಗಂಧಕ ಅಥವಾ ಕ್ಯಾಪ್ಟಾನ್ ಸಿಂಪಡಿಸಿ. 15 ದಿನಗಳ ನಂತರ ಮತ್ತೆ ಸಿಂಪಡಿಸಿ.",ವಿಲ್ಸನೋಮೈಸಸ್ ಕಾರ್ಪೊಫಿಲಸ್
ಏಪ್ರಿಕಾಟ್,ಸ್ಕ್ಯಾಬ್ / ಕಜ್ಜಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),"ಹಣ್ಣಿನ ಮೇಲೆ ಕಡು ಬಣ್ಣದ ತಗ್ಗು ಚುಕ್ಕೆಗಳು ಬಂದು ಆಳವಾದ ಬಿರುಕು ಉಂಟಾಗುತ್ತದೆ ಮತ್ತು ಅಂಟು ಒಸರುತ್ತದೆ. ರೋಗ ನಿರೋಧಕ ತಳಿಗಳನ್ನು ಬಳಸುವುದು ಉತ್ತಮ. ಚಳಿಗಾಲದಲ್ಲಿ 1 ಲೀಟರ್ ನೀರಿಗೆ 3 ಗ್ರಾಂ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ. ಎಲೆ ಬಂದ ಮೇಲೆ ಕಾಪರ್ ಬಳಸಿದರೆ ಎಲೆ ಸುಡಬಹುದು, ತಜ್ಞರ ಸಲಹೆಯಂತೆ ಆ್ಯಂಟಿಬಯೋಟಿಕ್ ಬಳಸಿ.",ವೆಂಚುರಿಯಾ ಕಾರ್ಪೊಫಿಲಾ
ಏಪ್ರಿಕಾಟ್,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಚುಕ್ಕೆ ರೋಗ  (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),"ಎಳೆಯ ಕಾಯಿಗಳ ಮೇಲೆ ಬಿಳಿ ಬೂಷ್ಟು ಕಾಣುತ್ತದೆ, ನಂತರ ಅದು ಕಂದು ಬಣ್ಣದ ಒರಟು ಕಲೆಗಳಾಗಿ ಬದಲಾಗುತ್ತದೆ. ಹೂವಿನ ದಳ ಉದುರಿದ ತಕ್ಷಣ 1 ಲೀಟರ್ ನೀರಿಗೆ 2 ಗ್ರಾಂ ಕರಗುವ ಗಂಧಕ ಅಥವಾ 0.5 ಮಿ.ಲೀ ಮೈಕ್ಲೋಬ್ಯುಟಾನಿಲ್ ಸಿಂಪಡಿಸಿ. ತೇವಾಂಶ ಕಡಿಮೆ ಮಾಡಲು ತೋಟದಲ್ಲಿ ಕಳೆ ಇಲ್ಲದಂತೆ ನೋಡಿಕೊಳ್ಳಿ.",ಝಾಂಥೋಮೋನಾಸ್ ಅರ್ಬೊರಿಕೋಲಾ pv. ಪ್ರೂನಿ
ಏಪ್ರಿಕಾಟ್,ಬೂದಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಹಣ್ಣಿನ ಮೇಲೆ ಕೆಂಪು-ನೇರಳೆ ಉಂಗುರಗಳು ಕಾಣುತ್ತವೆ ಮತ್ತು ಹಣ್ಣು ಆಕಾರ ಕಳೆದುಕೊಳ್ಳುತ್ತದೆ. ಒಳಗಿನ ತಿರುಳಿನಲ್ಲಿ ಕಂದು ಗೆರೆಗಳು ಇರುತ್ತವೆ. ಈ ವೈರಸ್ ರೋಗಕ್ಕೆ ಯಾವುದೇ ರಾಸಾಯನಿಕ ಔಷಧವಿಲ್ಲ. ರೋಗ ಬಂದ ಗಿಡವನ್ನು ತೆಗೆದುಹಾಕುವುದೇ ಪರಿಹಾರ. ಹೊಸ ಗಿಡ ನೆಡುವಾಗ ವೈರಸ್ ರಹಿತ ಸಸಿಗಳನ್ನೇ ಬಳಸಿ.,ಸ್ಫೆರೋಥೆಕಾ ಪನ್ನೋಸಾ
ಏಪ್ರಿಕಾಟ್,ರಿಂಗ್ ಪಾಕ್ಸ್  (ವೈರಸ್ ರೋಗ),"ಕೊಯ್ಲಿನ ನಂತರ ಹಣ್ಣು ಹಣ್ಣಾದಾಗ ಇದು ಬರುತ್ತದೆ. ಹಣ್ಣು ಮೆತ್ತಗಾಗಿ ನೀರಾಗುತ್ತದೆ ಮತ್ತು ಕಪ್ಪು ಬೂಷ್ಟು ಬೆಳೆಯುತ್ತದೆ. ಕೊಯ್ಲು ಮಾಡುವಾಗ ಹಣ್ಣನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ನಿರ್ವಹಿಸಿ, ಪೆಟ್ಟಾಗದಂತೆ ನೋಡಿಕೊಳ್ಳಿ. ಕೊಯ್ಲಿನ ನಂತರ ಹಣ್ಣನ್ನು ತಕ್ಷಣ ತಂಪು ಮಾಡಿ, ಶುಚಿತ್ವ ಕಾಪಾಡಿಕೊಳ್ಳಿ.",ಏಪ್ರಿಕಾಟ್ ರಿಂಗ್ ಪಾಕ್ಸ್ ವೈರಸ್ (ARPV)
ಏಪ್ರಿಕಾಟ್,ಮೆದು ಕೊಳೆ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),"ಇವು ಕೀಟಗಳೇ ಹೊರತು ರೋಗವಲ್ಲ. ಹಣ್ಣು ಮಾಗುವಾಗ ಇವು ರಂಧ್ರ ಮಾಡುತ್ತವೆ, ಇದರಿಂದ ಹಣ್ಣು ಕೊಳೆಯುತ್ತದೆ. ಹಗಲಿನಲ್ಲಿ ಮರದ ಕಾಂಡಕ್ಕೆ ಒದ್ದೆ ಪೇಪರ್ ಅಥವಾ ರಟ್ಟನ್ನು ಸುತ್ತಿ ಇವುಗಳನ್ನು ಹಿಡಿದು ನಾಶಪಡಿಸಬಹುದು. ಮರದ ಸುತ್ತಲೂ ಕಳೆ ಮತ್ತು ಕಸ ಇಲ್ಲದಂತೆ ಸ್ವಚ್ಛವಾಗಿಡಿ.",ರೈಜೋಪಸ್ ಸ್ಟೋಲೋನಿಫರ್
ಅಡಿಕೆ,ಇಯರ್ ವಿಗ್ ಕೀಟಬಾಧೆ  (ಕೀಟ ಬಾಧೆ),ಮಳೆಗಾಲದಲ್ಲಿ ಇದು ಅತ್ಯಂತ ಅಪಾಯಕಾರಿ. ಕಾಯಿಗಳ ಮೇಲೆ ನೀರು ಹಿಡಿದ ಕಪ್ಪು ಚುಕ್ಕೆಗಳು ಬರುತ್ತವೆ. ಇದನ್ನು ತಡೆಗಟ್ಟಲು ಮಳೆಗೂ ಮುನ್ನ ಗೊನೆಗಳಿಗೆ ಪಾಲಿಥೀನ್ ಹೊದಿಕೆ (ಕೊಟ್ಟೆ) ಹಾಕಿ. ಮಳೆ ಶುರುವಾಗುವ ಮುನ್ನ ಶೇ.1 ರ ಬೋರ್ಡೋ ದ್ರಾವಣ ಸಿಂಪಡಿಸಿ. ಮಳೆ ಹೆಚ್ಚಿದ್ದರೆ 45 ದಿನಗಳ ನಂತರ ಮತ್ತೆ ಸಿಂಪಡಿಸಿ. ಬಿದ್ದ ಕೊಳೆತ ಅಡಿಕೆಗಳನ್ನು ಆರಿಸಿ ಸುಟ್ಟುಹಾಕಿ.,ಫಾರ್ಫಿಕ್ಯುಲಾ ಆರಿಕ್ಯುಲೇರಿಯಾ
ಅಡಿಕೆ,ಕೊಳೆ ರೋಗ / ಮಹಾಳಿ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಹೂವಿನ ಗೊಂಚಲು ತುದಿಯಿಂದ ಒಣಗಲು ಶುರುವಾಗಿ ಕಾಯಿ ಉದುರುತ್ತವೆ. ಒಣಗಿದ ಭಾಗವನ್ನು ಕತ್ತರಿಸಿ ಸುಟ್ಟುಹಾಕಿ. ಹೆಣ್ಣು ಹೂವು ಅರಳಿದ ತಕ್ಷಣ 1 ಲೀಟರ್ ನೀರಿಗೆ 2 ಗ್ರಾಂ ಮ್ಯಾಂಕೋಜೆಬ್ ಅಥವಾ ಕ್ಲೋರೋಥಲೋನಿಲ್ ಸಿಂಪಡಿಸಿ. ಗಿಡದ ಶಕ್ತಿ ಹೆಚ್ಚಿಸಲು ಪೊಟ್ಯಾಷ್ ಗೊಬ್ಬರ ಕೊಡಿ.,ಫೈಟೊಫ್ಥೋರಾ ಅರೆಕೆ (ಮಹಾಳಿ)
